period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,0.61347,0.55,0.69,0.6,11,0.0224
+1q,0.3559,0.24,0.41,0.32,11,0.1122
0y,1.94801,1.92,1.97,1.81,15,0.0762
+1y,2.11362,2.07662,2.15,1.94801,14,0.085
