period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,1616668700,1599400000,1643900000,16,1442000000,0.12109999
+1q,1704740150,1686200000,1771000000,16,1537000000,0.1091
0y,6769901800,6655000000,7072969640,21,6074500000,0.1145
+1y,7409597310,7107000000,7975800000,21,6769901800,0.0945
