,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.258,0.251,0.232,0.247
Normalized EBITDA,1834100000.0,1720200000.0,1579100000.0,1681300000.0
Net Income From Continuing Operation Net Minority Interest,660300000.0,604100000.0,545300000.0,696200000.0
Reconciled Depreciation,726900000.0,680600000.0,619800000.0,568600000.0
Reconciled Cost Of Revenue,2638200000.0,2507900000.0,2326100000.0,2168700000.0
EBITDA,1834100000.0,1720200000.0,1579100000.0,1681300000.0
EBIT,1107200000.0,1039600000.0,959300000.0,1112700000.0
Net Interest Income,-212300000.0,-229100000.0,-241400000.0,-183000000.0
Interest Expense,212300000.0,229100000.0,241400000.0,183000000.0
Normalized Income,660300000.0,604100000.0,545300000.0,696200000.0
Net Income From Continuing And Discontinued Operation,660300000.0,604100000.0,545300000.0,696200000.0
Total Expenses,4979300000.0,4639000000.0,4331600000.0,4066200000.0
Total Operating Income As Reported,1095200000.0,1042100000.0,933600000.0,1056000000.0
Diluted Average Shares,124100000.0,124900000.0,123900000.0,123300000.0
Basic Average Shares,123200000.0,123800000.0,122900000.0,122400000.0
Diluted EPS,5.32,4.84,4.4,5.65
Basic EPS,5.36,4.88,4.44,5.69
Diluted NI Availto Com Stockholders,660300000.0,604100000.0,545300000.0,696200000.0
Net Income Common Stockholders,660300000.0,604100000.0,545300000.0,696200000.0
Net Income,660300000.0,604100000.0,545300000.0,696200000.0
Minority Interests,-4000000.0,-3200000.0,-6400000.0,-4000000.0
Net Income Including Noncontrolling Interests,664300000.0,607300000.0,551700000.0,700200000.0
Net Income Continuous Operations,664300000.0,607300000.0,551700000.0,700200000.0
Tax Provision,230600000.0,203200000.0,166200000.0,229500000.0
Pretax Income,894900000.0,810500000.0,717900000.0,929700000.0
Other Income Expense,12000000.0,-2500000.0,25700000.0,56700000.0
Other Non Operating Income Expenses,12000000.0,-2500000.0,25700000.0,56700000.0
Net Non Operating Interest Income Expense,-212300000.0,-229100000.0,-241400000.0,-183000000.0
Interest Expense Non Operating,212300000.0,229100000.0,241400000.0,183000000.0
Operating Income,1095200000.0,1042100000.0,933600000.0,1056000000.0
Operating Expense,2333700000.0,2120300000.0,1996500000.0,1889000000.0
Depreciation Amortization Depletion Income Statement,719500000.0,669800000.0,610800000.0,560100000.0
Depreciation And Amortization In Income Statement,719500000.0,669800000.0,610800000.0,560100000.0
Selling General And Administration,1614200000.0,1450500000.0,1385700000.0,1328900000.0
Gross Profit,3428900000.0,3162400000.0,2930100000.0,2945000000.0
Cost Of Revenue,2645600000.0,2518700000.0,2335100000.0,2177200000.0
Total Revenue,6074500000.0,5681100000.0,5265200000.0,5122200000.0
Operating Revenue,6074500000.0,5681100000.0,5265200000.0,5122200000.0
