,2025-02-28,2024-02-29,2023-02-28,2022-02-28
Tax Effect Of Unusual Items,-642411000.0,-48739600.0,-231882000.0,-480690000.0
Tax Rate For Calcs,0.21,0.206,0.21,0.21
Normalized EBITDA,3833400000.0,3322400000.0,2294500000.0,3293100000.0
Total Unusual Items,-3059100000.0,-236600000.0,-1104200000.0,-2289000000.0
Total Unusual Items Excluding Goodwill,-3059100000.0,-236600000.0,-1104200000.0,-2289000000.0
Net Income From Continuing Operation Net Minority Interest,-81400000.0,1727400000.0,-71000000.0,-40400000.0
Reconciled Depreciation,445700000.0,427900000.0,383800000.0,337300000.0
Reconciled Cost Of Revenue,4894100000.0,4944300000.0,4683600000.0,4113400000.0
EBITDA,774300000.0,3085800000.0,1190300000.0,1004100000.0
EBIT,328600000.0,2657900000.0,806500000.0,666800000.0
Net Interest Income,-411400000.0,-436100000.0,-422900000.0,-356400000.0
Interest Expense,411400000.0,436100000.0,422900000.0,356400000.0
Normalized Income,2335289000.0,1915260400.0,801318000.0,1767910000.0
Net Income From Continuing And Discontinued Operation,-81400000.0,1727400000.0,-71000000.0,-40400000.0
Total Expenses,6844100000.0,6777000000.0,6611700000.0,5823100000.0
Total Operating Income As Reported,354900000.0,3169700000.0,2842900000.0,2331700000.0
Diluted Average Shares,181476000.0,183959000.0,192543000.0,190656000.0
Basic Average Shares,181476000.0,183307000.0,192543000.0,190656000.0
Diluted EPS,-0.45,9.39,-0.11,-0.22
Basic EPS,-0.45,9.42,-0.11,-0.22
Diluted NI Availto Com Stockholders,-81400000.0,1727400000.0,-71000000.0,-40400000.0
Average Dilution Earnings,,,0.0,0.0
Net Income Common Stockholders,-81400000.0,1727400000.0,-71000000.0,-40400000.0
Net Income,-81400000.0,1727400000.0,-71000000.0,-40400000.0
Minority Interests,-50300000.0,-37800000.0,-32500000.0,-41400000.0
Net Income Including Noncontrolling Interests,-31100000.0,1765200000.0,-38500000.0,1000000.0
Net Income Continuous Operations,-31100000.0,1765200000.0,-38500000.0,1000000.0
Tax Provision,-51700000.0,456600000.0,422100000.0,309400000.0
Pretax Income,-82800000.0,2221800000.0,383600000.0,310400000.0
Other Income Expense,-3036000000.0,-526900000.0,-2034400000.0,-2330800000.0
Special Income Charges,-3018400000.0,-151200000.0,-1058300000.0,-695300000.0
Gain On Sale Of Business,266000000.0,-15100000.0,15000000.0,1700000.0
Other Special Charges,,700000.0,24200000.0,29400000.0
Write Off,486700000.0,136100000.0,1060300000.0,0.0
Impairment Of Capital Assets,2797700000.0,0.0,13000000.0,665900000.0
Earnings From Equity Interest,23100000.0,-290300000.0,-930200000.0,-41800000.0
Gain On Sale Of Security,-40700000.0,-85400000.0,-45900000.0,-1593700000.0
Net Non Operating Interest Income Expense,-411400000.0,-436100000.0,-422900000.0,-356400000.0
Interest Expense Non Operating,411400000.0,436100000.0,422900000.0,356400000.0
Operating Income,3364600000.0,3184800000.0,2840900000.0,2997600000.0
Operating Expense,1950000000.0,1832700000.0,1928100000.0,1709700000.0
Selling General And Administration,1950000000.0,1832700000.0,1928100000.0,1709700000.0
Gross Profit,5314600000.0,5017500000.0,4769000000.0,4707300000.0
Cost Of Revenue,4894100000.0,4944300000.0,4683600000.0,4113400000.0
Total Revenue,10208700000.0,9961800000.0,9452600000.0,8820700000.0
Excise Taxes,748200000.0,749200000.0,724600000.0,708400000.0
Operating Revenue,10956900000.0,10711000000.0,10177200000.0,9529100000.0
