period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,1211863170,1199977850,1261000000,15,685680000,0.76739997
+1q,1173278770,1075000000,1285400000,15,651797000,0.8001
0y,4183109170,4000016180,4481487870,17,3190024000,0.31129998
+1y,5028972150,4345000000,6459000000,18,4183109170,0.2022
