period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.95829,1.91551,2.02,1.72,20,0.1385
+1q,2.43665,2.38,2.56273,2.2,20,0.1076
0y,9.03698,8.82,9.44,8.11,26,0.114300005
+1y,10.42023,9.89,11.41,9.03698,23,0.1531
