period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,15542736790,15500000000,15673000000,19,14149000000,0.098500006
+1q,15804494180,15664000000,15945000000,18,14673000000,0.0771
0y,61570388880,61419700000,61770000000,21,56654000000,0.0868
+1y,64970903210,63158000000,66232825650,25,61570388880,0.0552
