period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,12454203890,12300000000,13301000000,15,4599913000,1.7075
+1q,11311989090,10000000000,14212000000,15,5756911000,0.96489996
0y,41466450550,40000000000,45213000000,15,21972042000,0.8872
+1y,50339971150,44537800000,61000000000,14,41466450550,0.214
