period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,0.48799,0.31,0.63,0.24,9,1.0333
+1q,0.68002,0.54025,1.13,0.54,10,0.2593
0y,3.09168,2.396,4.92,1.77,17,0.7467
+1y,3.76057,2.48,5.21,3.09168,16,0.2164
