period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,3.7755,1.73011,5.03,2.02,21,0.86910003
+1q,1.34053,0.88,1.91009,1.1,20,0.2187
0y,9.11306,6.67,11.66,6.1,23,0.4939
+1y,9.47957,6.8,11.23,9.11306,22,0.0402
