period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,-0.22032,-0.34,-0.14521,-0.1193,7,-0.8468
+1q,2.1501,2.05,2.27,1.9586,7,0.097799994
0y,5.96817,5.81245,6.11,5.6165,19,0.0626
+1y,6.664,6.03,7.11,5.99087,16,0.112399995
