,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-12382000.0,-11940000.0,-43073906.485671,-270000.0
Tax Rate For Calcs,0.302,0.199,0.395173,0.27
Normalized EBITDA,2060000000.0,2111000000.0,2029000000.0,1626000000.0
Total Unusual Items,-41000000.0,-60000000.0,-109000000.0,-1000000.0
Total Unusual Items Excluding Goodwill,-41000000.0,-60000000.0,-109000000.0,-1000000.0
Net Income From Continuing Operation Net Minority Interest,1121000000.0,1273000000.0,802000000.0,789000000.0
Reconciled Depreciation,356000000.0,404000000.0,536000000.0,486000000.0
Reconciled Cost Of Revenue,1254000000.0,1448000000.0,1414000000.0,1556000000.0
EBITDA,2019000000.0,2051000000.0,1920000000.0,1625000000.0
EBIT,1663000000.0,1647000000.0,1384000000.0,1139000000.0
Net Interest Income,67000000.0,68000000.0,-9000000.0,-54000000.0
Interest Expense,58000000.0,58000000.0,58000000.0,58000000.0
Interest Income,125000000.0,126000000.0,49000000.0,4000000.0
Normalized Income,1149618000.0,1321060000.0,867926093.514329,789730000.0
Net Income From Continuing And Discontinued Operation,1121000000.0,1273000000.0,802000000.0,789000000.0
Total Expenses,5886000000.0,5982000000.0,5983000000.0,5862000000.0
Total Operating Income As Reported,1520000000.0,1518000000.0,1332000000.0,1129000000.0
Diluted Average Shares,264000000.0,272000000.0,278000000.0,286000000.0
Basic Average Shares,262000000.0,270000000.0,277000000.0,284000000.0
Diluted EPS,4.25,4.68,2.88,2.76
Basic EPS,4.28,4.71,2.9,2.78
Diluted NI Availto Com Stockholders,1121000000.0,1273000000.0,802000000.0,789000000.0
Net Income Common Stockholders,1121000000.0,1273000000.0,802000000.0,789000000.0
Net Income,1121000000.0,1273000000.0,802000000.0,789000000.0
Net Income Including Noncontrolling Interests,1121000000.0,1273000000.0,802000000.0,789000000.0
Net Income Continuous Operations,1121000000.0,1273000000.0,802000000.0,789000000.0
Tax Provision,484000000.0,316000000.0,524000000.0,292000000.0
Pretax Income,1605000000.0,1589000000.0,1326000000.0,1081000000.0
Other Income Expense,-39000000.0,-59000000.0,-108000000.0,6000000.0
Other Non Operating Income Expenses,2000000.0,1000000.0,1000000.0,7000000.0
Special Income Charges,-57000000.0,-62000000.0,-111000000.0,0.0
Restructuring And Mergern Acquisition,57000000.0,62000000.0,111000000.0,0.0
Gain On Sale Of Security,16000000.0,2000000.0,2000000.0,-1000000.0
Net Non Operating Interest Income Expense,67000000.0,68000000.0,-9000000.0,-54000000.0
Interest Expense Non Operating,58000000.0,58000000.0,58000000.0,58000000.0
Interest Income Non Operating,125000000.0,126000000.0,49000000.0,4000000.0
Operating Income,1577000000.0,1580000000.0,1443000000.0,1129000000.0
Operating Expense,4343000000.0,4272000000.0,4191000000.0,4003000000.0
Depreciation Amortization Depletion Income Statement,67000000.0,142000000.0,158000000.0,183000000.0
Depreciation And Amortization In Income Statement,67000000.0,142000000.0,158000000.0,183000000.0
Amortization,67000000.0,142000000.0,158000000.0,183000000.0
Amortization Of Intangibles Income Statement,67000000.0,142000000.0,158000000.0,183000000.0
Research And Development,2569000000.0,2420000000.0,2328000000.0,2186000000.0
Selling General And Administration,1707000000.0,1710000000.0,1705000000.0,1634000000.0
Selling And Marketing Expense,962000000.0,1019000000.0,978000000.0,961000000.0
General And Administrative Expense,745000000.0,691000000.0,727000000.0,673000000.0
Other Gand A,745000000.0,691000000.0,727000000.0,673000000.0
Gross Profit,5920000000.0,5852000000.0,5634000000.0,5132000000.0
Cost Of Revenue,1543000000.0,1710000000.0,1792000000.0,1859000000.0
Total Revenue,7463000000.0,7562000000.0,7426000000.0,6991000000.0
Operating Revenue,7463000000.0,7562000000.0,7426000000.0,6991000000.0
