period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.93818,1.56,2.16,1.65,32,0.17469999
+1q,1.72973,1.58572,1.89,1.57,30,0.1017
0y,8.50836,7.96,8.97,7.46,41,0.14050001
+1y,9.35072,8.36,10.38,8.50836,41,0.099
