period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,12.09026,11.2,13.07,11.3,13,0.0699
+1q,12.79961,12.22,13.39,12.05,12,0.0622
0y,53.49687,50.9,56.74,48.09,15,0.112399995
+1y,61.31114,58.28,66.14,53.49687,15,0.1461
