,2026-01-31,2025-01-31,2024-01-31,2023-01-31
Tax Effect Of Unusual Items,-94839000.0,-14746081.504702,0.0,-8400000.0
Tax Rate For Calcs,0.313,0.175549,0.21,0.21
Normalized EBITDA,1773000000.0,1162000000.0,752000000.0,246000000.0
Total Unusual Items,-303000000.0,-84000000.0,0.0,-40000000.0
Total Unusual Items Excluding Goodwill,-303000000.0,-84000000.0,0.0,-40000000.0
Net Income From Continuing Operation Net Minority Interest,693000000.0,526000000.0,1381000000.0,-367000000.0
Reconciled Depreciation,347000000.0,326000000.0,282000000.0,364000000.0
Reconciled Cost Of Revenue,2321000000.0,2069000000.0,1771000000.0,1710000000.0
EBITDA,1470000000.0,1078000000.0,752000000.0,206000000.0
EBIT,1123000000.0,752000000.0,470000000.0,-158000000.0
Net Interest Income,204000000.0,236000000.0,187000000.0,-5000000.0
Interest Expense,114000000.0,114000000.0,114000000.0,102000000.0
Interest Income,318000000.0,350000000.0,301000000.0,97000000.0
Normalized Income,901161000.0,595253918.495298,1381000000.0,-335400000.0
Net Income From Continuing And Discontinued Operation,693000000.0,526000000.0,1381000000.0,-367000000.0
Total Expenses,8528000000.0,7947000000.0,7076000000.0,6398000000.0
Total Operating Income As Reported,721000000.0,415000000.0,183000000.0,-222000000.0
Diluted Average Shares,268117000.0,269205000.0,265285000.0,254819000.0
Basic Average Shares,265097000.0,265257000.0,261344000.0,254819000.0
Diluted EPS,2.59,1.95,5.21,-1.44
Basic EPS,2.61,1.98,5.28,-1.44
Diluted NI Availto Com Stockholders,693000000.0,526000000.0,1381000000.0,-367000000.0
Net Income Common Stockholders,693000000.0,526000000.0,1381000000.0,-367000000.0
Net Income,693000000.0,526000000.0,1381000000.0,-367000000.0
Net Income Including Noncontrolling Interests,693000000.0,526000000.0,1381000000.0,-367000000.0
Net Income Continuous Operations,693000000.0,526000000.0,1381000000.0,-367000000.0
Tax Provision,316000000.0,112000000.0,-1025000000.0,107000000.0
Pretax Income,1009000000.0,638000000.0,356000000.0,-260000000.0
Other Income Expense,-219000000.0,-97000000.0,-14000000.0,-73000000.0
Other Non Operating Income Expenses,84000000.0,-13000000.0,-14000000.0,-33000000.0
Special Income Charges,-303000000.0,-84000000.0,0.0,-40000000.0
Restructuring And Mergern Acquisition,303000000.0,84000000.0,0.0,40000000.0
Net Non Operating Interest Income Expense,204000000.0,236000000.0,187000000.0,-5000000.0
Interest Expense Non Operating,114000000.0,114000000.0,114000000.0,102000000.0
Interest Income Non Operating,318000000.0,350000000.0,301000000.0,97000000.0
Operating Income,1024000000.0,499000000.0,183000000.0,-182000000.0
Operating Expense,6207000000.0,5878000000.0,5305000000.0,4688000000.0
Research And Development,2679000000.0,2626000000.0,2464000000.0,2247000000.0
Selling General And Administration,3528000000.0,3252000000.0,2841000000.0,2441000000.0
Selling And Marketing Expense,2616000000.0,2432000000.0,2139000000.0,1842000000.0
General And Administrative Expense,912000000.0,820000000.0,702000000.0,599000000.0
Other Gand A,912000000.0,820000000.0,702000000.0,599000000.0
Gross Profit,7231000000.0,6377000000.0,5488000000.0,4506000000.0
Cost Of Revenue,2321000000.0,2069000000.0,1771000000.0,1710000000.0
Total Revenue,9552000000.0,8446000000.0,7259000000.0,6216000000.0
Operating Revenue,9552000000.0,8446000000.0,7259000000.0,6216000000.0
