period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,2.51534,2.24,2.67,2.23,37,0.128
+1q,2.56754,2.26,2.75,2.21,36,0.1618
0y,10.51682,9.38,11.16,9.23,41,0.13939999
+1y,12.45528,10.95,14.93231,10.51682,39,0.1843
