period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,2515716410,2512700000,2532000000,34,2240000000,0.123100005
+1q,2627039160,2606490000,2657000000,34,2348000000,0.1188
0y,10665663980,10635000000,10805000000,41,9552000000,0.1166
+1y,11859526420,11676500000,12285000000,38,10665663980,0.111899994
