,2025-09-30,2024-09-30,2023-09-30,2022-09-30
Tax Effect Of Unusual Items,-8134719.68455,0.0,0.0,0.0
Tax Rate For Calcs,0.396622,0.169169,0.195,0.139
Normalized EBITDA,947351000.0,1255083000.0,996312000.0,878740000.0
Total Unusual Items,-20510000.0,0.0,0.0,
Total Unusual Items Excluding Goodwill,-20510000.0,0.0,0.0,
Net Income From Continuing Operation Net Minority Interest,313302000.0,612804000.0,379125000.0,354164000.0
Reconciled Depreciation,237576000.0,308739000.0,307252000.0,301056000.0
Reconciled Cost Of Revenue,9044849000.0,8668185000.0,8140560000.0,7203115000.0
EBITDA,926841000.0,1255083000.0,996312000.0,878740000.0
EBIT,689265000.0,946344000.0,689060000.0,577684000.0
Net Interest Income,-109984000.0,-134604000.0,-143110000.0,-95886000.0
Interest Expense,145788000.0,169058000.0,168085000.0,100187000.0
Interest Income,35804000.0,34454000.0,24975000.0,4301000.0
Normalized Income,325677280.31545,612804000.0,379125000.0,354164000.0
Net Income From Continuing And Discontinued Operation,289336000.0,806093000.0,665777000.0,644039000.0
Total Expenses,11166149000.0,10808505000.0,10174936000.0,9243190000.0
Total Operating Income As Reported,863634000.0,692436000.0,676484000.0,539884000.0
Diluted Average Shares,121932000.0,125881000.0,127214000.0,129445000.0
Basic Average Shares,121468000.0,125324000.0,126607000.0,128665000.0
Diluted EPS,2.38,6.32,5.3,4.98
Basic EPS,2.39,6.35,5.32,5.01
Diluted NI Availto Com Stockholders,289336000.0,806093000.0,665777000.0,644039000.0
Net Income Common Stockholders,289336000.0,806093000.0,665777000.0,644039000.0
Net Income,289336000.0,806093000.0,665777000.0,644039000.0
Minority Interests,-14620000.0,-32989000.0,-40514000.0,-57005000.0
Net Income Including Noncontrolling Interests,303956000.0,839082000.0,706291000.0,701044000.0
Net Income Discontinuous Operations,-23966000.0,193289000.0,286652000.0,289875000.0
Net Income Continuous Operations,327922000.0,645793000.0,419639000.0,411169000.0
Tax Provision,215555000.0,131493000.0,101336000.0,66328000.0
Pretax Income,543477000.0,777286000.0,520975000.0,477497000.0
Other Income Expense,-210173000.0,219454000.0,-12399000.0,33499000.0
Other Non Operating Income Expenses,-189663000.0,219454000.0,-12399000.0,33499000.0
Special Income Charges,-20510000.0,0.0,0.0,
Other Special Charges,20510000.0,,,
Net Non Operating Interest Income Expense,-109984000.0,-134604000.0,-143110000.0,-95886000.0
Interest Expense Non Operating,145788000.0,169058000.0,168085000.0,100187000.0
Interest Income Non Operating,35804000.0,34454000.0,24975000.0,4301000.0
Operating Income,863634000.0,692436000.0,676484000.0,539884000.0
Operating Expense,2121300000.0,2140320000.0,2034376000.0,2040075000.0
Selling General And Administration,2121300000.0,2140320000.0,2034376000.0,2040075000.0
Gross Profit,2984934000.0,2832756000.0,2710860000.0,2579959000.0
Cost Of Revenue,9044849000.0,8668185000.0,8140560000.0,7203115000.0
Total Revenue,12029783000.0,11500941000.0,10851420000.0,9783074000.0
Operating Revenue,12029783000.0,11500941000.0,10851420000.0,9783074000.0
