period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,2.60134,2.22,3.1,2.78,19,-0.0643
+1q,3.34606,2.82,4.1,2.53,19,0.32259998
0y,12.45025,11.39,13.14,10.6,24,0.17459999
+1y,13.87495,10.75,16.03,12.45025,24,0.1144
