period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,3.66807,3.52613,3.89085,3.66,15,0.0022
+1q,3.86803,3.75,4.01,3.74,15,0.0342
0y,16.30643,16.1,16.7,15.45,18,0.0554
+1y,18.08199,16.84,18.84,16.30643,19,0.1089
