,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31
Ordinary Shares Number,141452656.0,141016300.0,141342527.0,141686082.0,142528510.0,,
Share Issued,141452656.0,141016300.0,141342527.0,141686082.0,142528510.0,,
Net Debt,412911000.0,443786000.0,482071000.0,590585000.0,667915000.0,,
Total Debt,1588665000.0,1625554000.0,1587239000.0,1588629000.0,1578428000.0,,
Tangible Book Value,2057957000.0,1983909000.0,2203800000.0,2184115000.0,2192868000.0,,
Invested Capital,4328682000.0,4265061000.0,4325348000.0,4316735000.0,4336043000.0,,
Working Capital,2282504000.0,2257113000.0,2562744000.0,2517265000.0,2535194000.0,,
Net Tangible Assets,2057957000.0,1983909000.0,2203800000.0,2184115000.0,2192868000.0,,
Capital Lease Obligations,52341000.0,89816000.0,49192000.0,48273000.0,35764000.0,,
Common Stock Equity,2792358000.0,2729323000.0,2787301000.0,2776379000.0,2793379000.0,,
Total Capitalization,4317102000.0,4253481000.0,4313768000.0,4305155000.0,4324463000.0,,
Total Equity Gross Minority Interest,2792358000.0,2729323000.0,2787301000.0,2776379000.0,2793379000.0,,
Stockholders Equity,2792358000.0,2729323000.0,2787301000.0,2776379000.0,2793379000.0,,
Gains Losses Not Affecting Retained Earnings,-38723000.0,-55035000.0,-44829000.0,-39596000.0,-67289000.0,,
Other Equity Adjustments,-38723000.0,-55035000.0,-44829000.0,-39596000.0,-67289000.0,,
Retained Earnings,-3019826000.0,-3170109000.0,-3189598000.0,-3239906000.0,-3248875000.0,,
Additional Paid In Capital,5849492000.0,5953057000.0,6020315000.0,6054464000.0,6108118000.0,,
Capital Stock,1415000.0,1410000.0,1413000.0,1417000.0,1425000.0,,
Common Stock,1415000.0,1410000.0,1413000.0,1417000.0,1425000.0,,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,,
Total Liabilities Net Minority Interest,3100001000.0,3135344000.0,2961477000.0,2882987000.0,2779523000.0,,
Total Non Current Liabilities Net Minority Interest,1841628000.0,1826950000.0,1837998000.0,1835927000.0,1823006000.0,,
Other Non Current Liabilities,182329000.0,11564000.0,195976000.0,188809000.0,186027000.0,,
Derivative Product Liabilities,,1345000.0,,,,0.0,
Tradeand Other Payables Non Current,,102718000.0,,,,113365000.0,
Non Current Deferred Liabilities,100455000.0,116046000.0,81057000.0,83239000.0,83126000.0,,
Non Current Deferred Revenue,100455000.0,94850000.0,81057000.0,83239000.0,83126000.0,,
Long Term Debt And Capital Lease Obligation,1558844000.0,1595277000.0,1560965000.0,1563879000.0,1553853000.0,,
Long Term Capital Lease Obligation,34100000.0,71119000.0,34498000.0,35103000.0,22769000.0,,
Long Term Debt,1524744000.0,1524158000.0,1526467000.0,1528776000.0,1531084000.0,,
Current Liabilities,1258373000.0,1308394000.0,1123479000.0,1047060000.0,956517000.0,,
Other Current Liabilities,129068000.0,138727000.0,,,,113030000.0,125348000.0
Current Deferred Liabilities,290418000.0,208936000.0,196209000.0,221835000.0,174151000.0,,
Current Deferred Revenue,290418000.0,208936000.0,196209000.0,221835000.0,174151000.0,,
Current Debt And Capital Lease Obligation,29821000.0,30277000.0,26274000.0,24750000.0,24575000.0,,
Current Capital Lease Obligation,18241000.0,18697000.0,14694000.0,13170000.0,12995000.0,,
Current Debt,11580000.0,11580000.0,11580000.0,11580000.0,11580000.0,,
Other Current Borrowings,11580000.0,11580000.0,11580000.0,11580000.0,11580000.0,,
Pensionand Other Post Retirement Benefit Plans Current,33176000.0,33708000.0,,,,31250000.0,152308000.0
Current Provisions,58084000.0,55533000.0,,,,55267000.0,49933000.0
Payables And Accrued Expenses,717806000.0,841213000.0,900996000.0,800475000.0,757791000.0,,
Current Accrued Expenses,9833000.0,6101000.0,436312000.0,381398000.0,362021000.0,,
Interest Payable,9833000.0,6101000.0,,,,6120000.0,8806000.0
Payables,707973000.0,835112000.0,464684000.0,419077000.0,395770000.0,,
Total Tax Payable,160752000.0,292271000.0,,,,183843000.0,6537000.0
Income Tax Payable,8529000.0,10729000.0,,,,35111000.0,6537000.0
Accounts Payable,547221000.0,542841000.0,464684000.0,419077000.0,395770000.0,,
Total Assets,5892359000.0,5864667000.0,5748778000.0,5659366000.0,5572902000.0,,
Total Non Current Assets,2351482000.0,2299160000.0,2062555000.0,2095041000.0,2081191000.0,,
Other Non Current Assets,190888000.0,105667000.0,154059000.0,159081000.0,161718000.0,,
Non Current Deferred Assets,877995000.0,915200000.0,851903000.0,863571000.0,868432000.0,,
Non Current Deferred Taxes Assets,877995000.0,884889000.0,851903000.0,863571000.0,868432000.0,,
Non Current Accounts Receivable,,28610000.0,,,,,
Financial Assets,,0.0,,,,11777000.0,12316000.0
Investments And Advances,69876000.0,78877000.0,64397000.0,92121000.0,105035000.0,,
Other Investments,,,,,,80920000.0,
Investmentin Financial Assets,69876000.0,57142000.0,64397000.0,92121000.0,105035000.0,,
Available For Sale Securities,69876000.0,57142000.0,64397000.0,92121000.0,105035000.0,,
Long Term Equity Investment,,21735000.0,,,,21730000.0,21730000.0
Investments In Other Ventures Under Equity Method,,21735000.0,,,,21730000.0,21730000.0
Goodwill And Other Intangible Assets,734401000.0,745414000.0,583501000.0,592264000.0,600511000.0,,
Other Intangible Assets,212689000.0,224210000.0,138673000.0,147459000.0,156205000.0,,
Goodwill,521712000.0,521204000.0,444828000.0,444805000.0,444306000.0,,
Net PPE,478322000.0,425392000.0,408695000.0,388004000.0,345495000.0,,
Accumulated Depreciation,,-664248000.0,,,,-596027000.0,
Gross PPE,478322000.0,1089640000.0,408695000.0,388004000.0,345495000.0,,
Leases,,91562000.0,,,,77451000.0,
Other Properties,478322000.0,38613000.0,408695000.0,388004000.0,345495000.0,,
Machinery Furniture Equipment,,892223000.0,,,,788781000.0,
Buildings And Improvements,,67242000.0,,,,67517000.0,
Properties,,0.0,,,,0.0,
Current Assets,3540877000.0,3565507000.0,3686223000.0,3564325000.0,3491711000.0,,
Other Current Assets,427918000.0,47452000.0,473901000.0,506252000.0,495807000.0,,
Hedging Assets Current,,3236000.0,,,,2149000.0,1232000.0
Current Deferred Assets,,37836000.0,,,,20906000.0,19838000.0
Prepaid Assets,,145870000.0,,,,324029000.0,349833000.0
Inventory,845823000.0,826235000.0,860403000.0,874326000.0,845132000.0,,
Inventories Adjustments Allowances,-145943000.0,-129408000.0,-121477000.0,-118021000.0,-108727000.0,,
Other Inventories,43213000.0,40759000.0,41831000.0,36663000.0,30116000.0,,
Finished Goods,318547000.0,286050000.0,261732000.0,273376000.0,289162000.0,,
Work In Process,33998000.0,35051000.0,35611000.0,35317000.0,32688000.0,,
Raw Materials,596008000.0,593783000.0,642706000.0,646991000.0,601893000.0,,
Receivables,967408000.0,1196778000.0,1025563000.0,929799000.0,938703000.0,,
Other Receivables,,220922000.0,,,,173854000.0,185251000.0
Accounts Receivable,967408000.0,975856000.0,1025563000.0,929799000.0,938703000.0,,
Allowance For Doubtful Accounts Receivable,-11200000.0,-11212000.0,-9500000.0,-9800000.0,-10100000.0,,
Gross Accounts Receivable,978608000.0,987068000.0,1035063000.0,939599000.0,948803000.0,,
Cash Cash Equivalents And Short Term Investments,1299728000.0,1308100000.0,1326356000.0,1253948000.0,1212069000.0,,
Other Short Term Investments,176315000.0,216148000.0,270380000.0,304177000.0,337320000.0,,
Cash And Cash Equivalents,1123413000.0,1091952000.0,1055976000.0,949771000.0,874749000.0,,
