,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31
Tax Effect Of Unusual Items,-937310.504376,-22129380.0,-665036.569987,-1187550.0,-1367902.90696,,
Tax Rate For Calcs,0.170234,0.21,0.235661,0.21,0.350206,,
Normalized EBITDA,251705000.0,167550000.0,127132000.0,82094000.0,129374000.0,,
Total Unusual Items,-5506000.0,-105378000.0,-2822000.0,-5655000.0,-3906000.0,,
Total Unusual Items Excluding Goodwill,-5506000.0,-105378000.0,-2822000.0,-5655000.0,-3906000.0,,
Net Income From Continuing Operation Net Minority Interest,150283000.0,19489000.0,50308000.0,8969000.0,44572000.0,,
Reconciled Depreciation,43830000.0,37358000.0,35654000.0,33869000.0,33457000.0,,
Reconciled Cost Of Revenue,762428000.0,743559000.0,687208000.0,645716000.0,573527000.0,,
EBITDA,246199000.0,62172000.0,124310000.0,76439000.0,125468000.0,,
EBIT,202369000.0,24814000.0,88656000.0,42570000.0,92011000.0,,
Net Interest Income,-4595000.0,-10254000.0,-6664000.0,-10119000.0,-9707000.0,,
Interest Expense,21254000.0,21956000.0,22837000.0,23554000.0,23417000.0,,
Interest Income,16659000.0,11702000.0,16173000.0,13435000.0,13710000.0,,
Normalized Income,154851689.495624,102737620.0,52464963.430013,13436450.0,47110097.09304,,
Net Income From Continuing And Discontinued Operation,150283000.0,19489000.0,50308000.0,8969000.0,44572000.0,,
Total Expenses,1235826000.0,1233494000.0,1144080000.0,1091088000.0,990053000.0,,
Total Operating Income As Reported,189412000.0,10491000.0,73535000.0,32842000.0,80663000.0,,
Diluted Average Shares,145799000.0,145470000.0,144499000.0,144972000.0,145944000.0,,
Basic Average Shares,141676000.0,141527000.0,141846000.0,142503000.0,142880000.0,,
Diluted EPS,1.03,0.13,0.35,0.06,0.31,,
Basic EPS,1.06,0.14,0.35,0.06,0.31,,
Diluted NI Availto Com Stockholders,150283000.0,19489000.0,50308000.0,8969000.0,44572000.0,,
Net Income Common Stockholders,150283000.0,19489000.0,50308000.0,8969000.0,44572000.0,,
Net Income,150283000.0,19489000.0,50308000.0,8969000.0,44572000.0,,
Net Income Including Noncontrolling Interests,150283000.0,19489000.0,50308000.0,8969000.0,44572000.0,,
Net Income Continuous Operations,150283000.0,19489000.0,50308000.0,8969000.0,44572000.0,,
Tax Provision,30832000.0,-16631000.0,15511000.0,10047000.0,24022000.0,,
Pretax Income,181115000.0,2858000.0,65819000.0,19016000.0,68594000.0,,
Other Income Expense,-5506000.0,-105378000.0,-2822000.0,-5655000.0,-3906000.0,,
Other Non Operating Income Expenses,,,,,-499000.0,-433000.0,-771000.0
Special Income Charges,-1804000.0,-107999000.0,-1770000.0,-1948000.0,-2273000.0,,
Other Special Charges,,0.0,,,729000.0,,
Write Off,1498000.0,106851000.0,1770000.0,1948000.0,1544000.0,,
Restructuring And Mergern Acquisition,306000.0,,,,0.0,0.0,0.0
Gain On Sale Of Security,-3702000.0,2621000.0,-1052000.0,-3707000.0,-1633000.0,,
Net Non Operating Interest Income Expense,-4595000.0,-10254000.0,-6664000.0,-10119000.0,-9707000.0,,
Interest Expense Non Operating,21254000.0,21956000.0,22837000.0,23554000.0,23417000.0,,
Interest Income Non Operating,16659000.0,11702000.0,16173000.0,13435000.0,13710000.0,,
Operating Income,191216000.0,118490000.0,75305000.0,34790000.0,82207000.0,,
Operating Expense,434304000.0,458689000.0,427774000.0,418048000.0,389614000.0,,
Depreciation Amortization Depletion Income Statement,4736000.0,6112000.0,6556000.0,6545000.0,6545000.0,,
Depreciation And Amortization In Income Statement,4736000.0,6112000.0,6556000.0,6545000.0,6545000.0,,
Amortization,4736000.0,6112000.0,6556000.0,6545000.0,6545000.0,,
Amortization Of Intangibles Income Statement,4736000.0,6112000.0,6556000.0,6545000.0,6545000.0,,
Research And Development,221458000.0,228900000.0,211898000.0,214868000.0,192663000.0,,
Selling General And Administration,208110000.0,223677000.0,209320000.0,196635000.0,190406000.0,,
Selling And Marketing Expense,148867000.0,156420000.0,148724000.0,139683000.0,136504000.0,,
General And Administrative Expense,59243000.0,67257000.0,60596000.0,56952000.0,53902000.0,,
Other Gand A,59243000.0,67257000.0,60596000.0,56952000.0,53902000.0,,
Gross Profit,625520000.0,577179000.0,503079000.0,452838000.0,471821000.0,,
Cost Of Revenue,801522000.0,774805000.0,716306000.0,673040000.0,600439000.0,,
Total Revenue,1427042000.0,1351984000.0,1219385000.0,1125878000.0,1072260000.0,,
Operating Revenue,1427042000.0,1351984000.0,1219385000.0,1125878000.0,1072260000.0,,
