,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,721309.885294,528967.212062,-66.483897,45269910.0
Tax Rate For Calcs,0.010009,0.009617,0.00831,0.21
Normalized EBITDA,1195246000.0,1244808000.0,1285944000.0,1130169000.0
Total Unusual Items,72066000.0,55003000.0,-8000.0,215571000.0
Total Unusual Items Excluding Goodwill,72066000.0,55003000.0,-8000.0,215571000.0
Net Income From Continuing Operation Net Minority Interest,446909000.0,527543000.0,552806000.0,637436000.0
Reconciled Depreciation,622969000.0,586402000.0,565857000.0,544004000.0
Reconciled Cost Of Revenue,1534881000.0,1477748000.0,1400988000.0,1332155000.0
EBITDA,1267312000.0,1299811000.0,1285936000.0,1345740000.0
EBIT,644343000.0,713409000.0,720079000.0,801736000.0
Net Interest Income,-185257000.0,-168544000.0,-149234000.0,-154747000.0
Interest Expense,185257000.0,168544000.0,149234000.0,154747000.0
Normalized Income,375564309.885294,473068967.212062,552813933.516103,467134910.0
Net Income From Continuing And Discontinued Operation,446909000.0,527543000.0,552806000.0,637436000.0
Total Expenses,1589688000.0,1534264000.0,1459566000.0,1390988000.0
Diluted Average Shares,117149000.0,116776000.0,116645000.0,115583000.0
Basic Average Shares,116954000.0,116776000.0,116521000.0,115344000.0
Diluted EPS,3.78,4.49,4.71,5.48
Basic EPS,3.79,4.49,4.71,5.49
Diluted NI Availto Com Stockholders,443221000.0,523855000.0,549118000.0,633748000.0
Average Dilution Earnings,237000.0,75000.0,224000.0,438000.0
Net Income Common Stockholders,442984000.0,523780000.0,548894000.0,633310000.0
Otherunder Preferred Stock Dividend,237000.0,75000.0,224000.0,438000.0
Preferred Stock Dividends,3688000.0,3688000.0,3688000.0,3688000.0
Net Income,446909000.0,527543000.0,552806000.0,637436000.0
Minority Interests,-9657000.0,-14033000.0,-15025000.0,-17340000.0
Net Income Including Noncontrolling Interests,456566000.0,541576000.0,567831000.0,654776000.0
Net Income Continuous Operations,456566000.0,541576000.0,567831000.0,654776000.0
Earnings From Equity Interest Net Of Tax,2075000.0,1951000.0,1730000.0,1579000.0
Tax Provision,4595000.0,5240000.0,4744000.0,-6208000.0
Pretax Income,459086000.0,544865000.0,570845000.0,646989000.0
Other Income Expense,24905000.0,56658000.0,31177000.0,172858000.0
Other Non Operating Income Expenses,-47161000.0,1655000.0,31185000.0,-42713000.0
Gain On Sale Of Security,72066000.0,55003000.0,-8000.0,215571000.0
Net Non Operating Interest Income Expense,-185257000.0,-168544000.0,-149234000.0,-154747000.0
Interest Expense Non Operating,185257000.0,168544000.0,149234000.0,154747000.0
Operating Income,619438000.0,656751000.0,688902000.0,628878000.0
Operating Expense,54807000.0,56516000.0,58578000.0,58833000.0
Selling General And Administration,54807000.0,56516000.0,58578000.0,58833000.0
General And Administrative Expense,54807000.0,56516000.0,58578000.0,58833000.0
Other Gand A,54807000.0,56516000.0,58578000.0,58833000.0
Gross Profit,674245000.0,713267000.0,747480000.0,687711000.0
Cost Of Revenue,1534881000.0,1477748000.0,1400988000.0,1332155000.0
Total Revenue,2209126000.0,2191015000.0,2148468000.0,2019866000.0
Operating Revenue,2209126000.0,2191015000.0,2148468000.0,2019866000.0
