period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.44869,1.27,1.61,1.8,20,-0.19520001
+1q,1.66464,1.49,1.85,1.46,19,0.1402
0y,6.27223,6.05,6.36,6.15,28,0.0199
+1y,6.14042,5.42089,6.85963,6.27223,26,-0.021
