period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,2618939010,2599000000,2668000000,33,2272000000,0.1527
+1q,3457806740,3363000000,3542000000,33,3096000000,0.1169
0y,13697352570,13479000000,13962000000,40,12241000000,0.118999995
+1y,15078479050,14664100000,15742000000,39,13697352570,0.1008
