period,avg,low,high,numberOfAnalysts,yearAgoEps,growth
0q,0.904,0.85,0.97,5,,
+1q,0.916,0.89,0.95,5,,
0y,3.80322,3.73,3.87579,8,3.35,0.1353
+1y,4.363,4.2,4.6,8,3.80322,0.1472
