,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-10890000.0,-1568000.0,-8164000.0,-20619747.89916
Tax Rate For Calcs,0.242,0.196,0.157,0.158613
Normalized EBITDA,1448000000.0,1303000000.0,1087000000.0,1578000000.0
Total Unusual Items,-45000000.0,-8000000.0,-52000000.0,-130000000.0
Total Unusual Items Excluding Goodwill,-45000000.0,-8000000.0,-52000000.0,-130000000.0
Net Income From Continuing Operation Net Minority Interest,692000000.0,693000000.0,507000000.0,774000000.0
Reconciled Depreciation,376000000.0,394000000.0,403000000.0,414000000.0
Reconciled Cost Of Revenue,2390000000.0,2177000000.0,2139000000.0,2460000000.0
EBITDA,1403000000.0,1295000000.0,1035000000.0,1448000000.0
EBIT,1027000000.0,901000000.0,632000000.0,1034000000.0
Net Interest Income,-65000000.0,0.0,0.0,
Interest Expense,65000000.0,0.0,0.0,
Normalized Income,726110000.0,699432000.0,550836000.0,883380252.10084
Net Income From Continuing And Discontinued Operation,692000000.0,693000000.0,507000000.0,774000000.0
Total Expenses,3740000000.0,3488000000.0,3378000000.0,3721000000.0
Diluted Average Shares,209800000.0,,,
Basic Average Shares,209600000.0,,,
Diluted EPS,3.3,3.308924,,
Basic EPS,3.3,3.308924,,
Diluted NI Availto Com Stockholders,692000000.0,693000000.0,507000000.0,774000000.0
Net Income Common Stockholders,692000000.0,693000000.0,507000000.0,774000000.0
Net Income,692000000.0,693000000.0,507000000.0,774000000.0
Minority Interests,-37000000.0,-31000000.0,-26000000.0,-27000000.0
Net Income Including Noncontrolling Interests,729000000.0,724000000.0,533000000.0,801000000.0
Net Income Continuous Operations,729000000.0,724000000.0,533000000.0,801000000.0
Tax Provision,233000000.0,177000000.0,99000000.0,151000000.0
Pretax Income,962000000.0,901000000.0,632000000.0,952000000.0
Other Income Expense,13000000.0,54000000.0,-25000000.0,-82000000.0
Other Non Operating Income Expenses,11000000.0,25000000.0,11000000.0,17000000.0
Special Income Charges,-45000000.0,-8000000.0,-52000000.0,-130000000.0
Restructuring And Mergern Acquisition,45000000.0,8000000.0,52000000.0,130000000.0
Earnings From Equity Interest,47000000.0,37000000.0,16000000.0,31000000.0
Net Non Operating Interest Income Expense,-65000000.0,0.0,0.0,
Interest Expense Non Operating,65000000.0,0.0,0.0,
Operating Income,1014000000.0,847000000.0,657000000.0,1034000000.0
Operating Expense,1181000000.0,1149000000.0,1098000000.0,1123000000.0
Depreciation Amortization Depletion Income Statement,207000000.0,232000000.0,262000000.0,276000000.0
Depreciation And Amortization In Income Statement,207000000.0,232000000.0,262000000.0,276000000.0
Amortization,207000000.0,232000000.0,262000000.0,276000000.0
Amortization Of Intangibles Income Statement,207000000.0,232000000.0,262000000.0,276000000.0
Research And Development,354000000.0,314000000.0,303000000.0,329000000.0
Selling General And Administration,620000000.0,603000000.0,533000000.0,518000000.0
Gross Profit,2195000000.0,1996000000.0,1755000000.0,2157000000.0
Cost Of Revenue,2559000000.0,2339000000.0,2280000000.0,2598000000.0
Total Revenue,4754000000.0,4335000000.0,4035000000.0,4755000000.0
Operating Revenue,4754000000.0,4335000000.0,4035000000.0,4755000000.0
