Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-03-09 00:00:00-04:00,198.35163274340195,203.94911337746734,196.74808637348792,203.25192260742188,1228800,0.0,0.0
2026-03-10 00:00:00-04:00,205.5128071665238,210.01469135245245,204.28774232569938,204.755859375,1168200,0.0,0.0
2026-03-11 00:00:00-04:00,203.29175620927688,205.07457369814372,198.05284818052647,201.2200927734375,2342000,0.0,0.0
2026-03-12 00:00:00-04:00,201.24997637347073,203.9491191712903,199.21816104338683,200.46315002441406,2620800,0.0,0.0
2026-03-13 00:00:00-04:00,201.71808971894714,201.71808971894714,192.13665956123845,193.79000854492188,1389100,0.0,0.0
2026-03-16 00:00:00-04:00,195.36000061035156,200.02999877929688,195.33999633789062,199.77000427246094,1262300,0.78,0.0
2026-03-17 00:00:00-04:00,201.27000427246094,202.3699951171875,199.55999755859375,200.38999938964844,766800,0.0,0.0
2026-03-18 00:00:00-04:00,199.33999633789062,203.97999572753906,198.44000244140625,201.02999877929688,1129800,0.0,0.0
2026-03-19 00:00:00-04:00,199.6699981689453,202.16000366210938,193.66000366210938,197.30999755859375,1318800,0.0,0.0
2026-03-20 00:00:00-04:00,195.02999877929688,196.77000427246094,186.9499969482422,188.3800048828125,2068800,0.0,0.0
2026-03-23 00:00:00-04:00,192.5399932861328,198.2899932861328,192.5,194.27999877929688,1128900,0.0,0.0
2026-03-24 00:00:00-04:00,192.66000366210938,194.9600067138672,192.27000427246094,193.47999572753906,1055400,0.0,0.0
2026-03-25 00:00:00-04:00,195.64999389648438,198.5399932861328,190.55999755859375,193.94000244140625,735100,0.0,0.0
2026-03-26 00:00:00-04:00,191.02999877929688,194.10000610351562,191.02999877929688,192.63999938964844,613100,0.0,0.0
2026-03-27 00:00:00-04:00,192.02999877929688,193.6199951171875,183.77000427246094,189.1999969482422,1541700,0.0,0.0
2026-03-30 00:00:00-04:00,187.77999877929688,197.22999572753906,187.24000549316406,195.41000366210938,2612600,0.0,0.0
2026-03-31 00:00:00-04:00,198.33999633789062,208.57000732421875,195.72000122070312,201.64999389648438,6091100,0.0,0.0
2026-04-01 00:00:00-04:00,203.25,204.80999755859375,200.05999755859375,201.07000732421875,1333300,0.0,0.0
2026-04-02 00:00:00-04:00,199.30999755859375,205.27999877929688,198.55999755859375,203.75999450683594,779500,0.0,0.0
2026-04-06 00:00:00-04:00,203.72999572753906,203.83999633789062,196.89999389648438,197.02000427246094,1273800,0.0,0.0
2026-04-07 00:00:00-04:00,195.52999877929688,196.4949951171875,190.0,191.3699951171875,488316,0.0,0.0
