period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.22456,0.43,2.62,0.69,9,0.7747
+1q,1.77426,0.23,3.32,1.17,9,0.5165
0y,5.5584,1.98,11.08,2.26,11,1.4595
+1y,6.34414,2.2,12.8,5.5584,10,0.14140001
