period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,4287402380,4185000000,4405101000,13,4245000000,0.01
+1q,4376040380,4302000000,4567000000,13,4253000000,0.028900001
0y,17836483490,17520000000,18319000000,13,17174000000,0.038599998
+1y,18524465580,17978000000,19222000000,12,17836483490,0.038599998
