,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,3412622000.0,3572745000.0,2876158000.0,2515920000.0
Repurchase Of Capital Stock,-270221000.0,-303655000.0,-537163000.0,-94140000.0
Repayment Of Debt,-2063000.0,0.0,-1954000.0,-429812000.0
Issuance Of Debt,0.0,3105000.0,980000.0,0.0
Capital Expenditure,-169994000.0,-105623000.0,-53080000.0,-52684000.0
End Cash Position,2539938000.0,1974747000.0,1363195000.0,1449346000.0
Beginning Cash Position,1974747000.0,1363195000.0,1449346000.0,1568843000.0
Effect Of Exchange Rate Changes,38357000.0,-29840000.0,9070000.0,-24754000.0
Changes In Cash,526834000.0,641392000.0,-95221000.0,-94743000.0
Financing Cash Flow,-1026447000.0,-852487000.0,-1062495000.0,-771992000.0
Cash Flow From Continuing Financing Activities,-1026447000.0,-852487000.0,-1062495000.0,-771992000.0
Net Other Financing Charges,-53894000.0,-19984000.0,-22902000.0,-12848000.0
Cash Dividends Paid,-700269000.0,-531953000.0,-501456000.0,-235192000.0
Common Stock Dividend Paid,-700269000.0,-531953000.0,-501456000.0,-235192000.0
Net Common Stock Issuance,-270221000.0,-303655000.0,-537163000.0,-94140000.0
Common Stock Payments,-270221000.0,-303655000.0,-537163000.0,-94140000.0
Net Issuance Payments Of Debt,-2063000.0,3105000.0,-974000.0,-429812000.0
Net Long Term Debt Issuance,-2063000.0,3105000.0,-974000.0,-429812000.0
Long Term Debt Payments,-2063000.0,0.0,-1954000.0,-429812000.0
Long Term Debt Issuance,0.0,3105000.0,980000.0,0.0
Investing Cash Flow,-2029335000.0,-2184489000.0,-1961964000.0,-1891355000.0
Cash Flow From Continuing Investing Activities,-2029335000.0,-2184489000.0,-1961964000.0,-1891355000.0
Net Other Investing Changes,-70812000.0,107280000.0,-33929000.0,14337000.0
Dividends Received Cfi,139711000.0,134853000.0,-19904000.0,24623000.0
Net Investment Purchase And Sale,-1955562000.0,-2043551000.0,-1908267000.0,-2605716000.0
Sale Of Investment,6891761000.0,7532609000.0,4836950000.0,5771446000.0
Purchase Of Investment,-8847323000.0,-9576160000.0,-6745217000.0,-8377162000.0
Net Investment Properties Purchase And Sale,14627000.0,-66632000.0,-2074000.0,-45920000.0
Net Business Purchase And Sale,0.0,0.0,85009000.0,857217000.0
Sale Of Business,0.0,0.0,96567000.0,906789000.0
Purchase Of Business,0.0,0.0,-11558000.0,-49572000.0
Net PPE Purchase And Sale,-169994000.0,-105623000.0,-53080000.0,-52684000.0
Purchase Of PPE,-169994000.0,-105623000.0,-53080000.0,-52684000.0
Operating Cash Flow,3582616000.0,3678368000.0,2929238000.0,2568604000.0
Cash Flow From Continuing Operating Activities,3582616000.0,3678368000.0,2929238000.0,2568604000.0
Change In Working Capital,1951241000.0,2146265000.0,1579038000.0,1425863000.0
Change In Other Working Capital,97988000.0,105898000.0,-265795000.0,-314675000.0
Change In Receivables,-129586000.0,-184431000.0,-334178000.0,-268171000.0
Changes In Account Receivables,-129586000.0,-184431000.0,-334178000.0,-268171000.0
Other Non Cash Items,5376000.0,-1538000.0,2487000.0,3892000.0
Stock Based Compensation,54524000.0,54381000.0,51000000.0,49411000.0
Unrealized Gain Loss On Investment Securities,-96337000.0,-120799000.0,-70448000.0,632000.0
Depreciation And Amortization,-48126000.0,-170638000.0,-20861000.0,55872000.0
Operating Gains Losses,-63465000.0,14582000.0,6663000.0,-348128000.0
Gain Loss On Investment Securities,-63465000.0,14582000.0,6663000.0,-348128000.0
Net Income From Continuing Operations,1779403000.0,1756115000.0,1381359000.0,1381062000.0
