,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-1569100.0,10477500.0,-14044800.0,3124800.0
Tax Rate For Calcs,0.071,0.127,0.133,0.186
Normalized EBITDA,4069200000.0,3833600000.0,3633500000.0,3353500000.0
Total Unusual Items,-22100000.0,82500000.0,-105600000.0,16800000.0
Total Unusual Items Excluding Goodwill,-22100000.0,82500000.0,-105600000.0,16800000.0
Net Income From Continuing Operation Net Minority Interest,1558700000.0,1528400000.0,1332900000.0,1409300000.0
Reconciled Depreciation,1478500000.0,1354500000.0,1264200000.0,1122600000.0
Reconciled Cost Of Revenue,5666600000.0,4814000000.0,5291700000.0,6296900000.0
EBITDA,4047100000.0,3916100000.0,3527900000.0,3370300000.0
EBIT,2568600000.0,2561600000.0,2263700000.0,2247700000.0
Net Interest Income,-889200000.0,-798100000.0,-723500000.0,-513900000.0
Interest Expense,895100000.0,815300000.0,727400000.0,515100000.0
Interest Income,5900000.0,17200000.0,3900000.0,1200000.0
Normalized Income,1579230900.0,1456377500.0,1424455200.0,1395624800.0
Net Income From Continuing And Discontinued Operation,1558700000.0,1528400000.0,1332900000.0,1409300000.0
Total Expenses,7425200000.0,6435000000.0,6806100000.0,7673200000.0
Total Operating Income As Reported,2244900000.0,2152800000.0,1908000000.0,1924200000.0
Diluted Average Shares,323800000.0,316500000.0,315900000.0,316100000.0
Basic Average Shares,321900000.0,316200000.0,315400000.0,315400000.0
Diluted EPS,4.81,4.83,4.22,4.45
Basic EPS,4.84,4.83,4.22,4.46
Diluted NI Availto Com Stockholders,1557500000.0,1527200000.0,1331700000.0,1408100000.0
Net Income Common Stockholders,1557500000.0,1527200000.0,1331700000.0,1408100000.0
Preferred Stock Dividends,1200000.0,1200000.0,1200000.0,1200000.0
Net Income,1558700000.0,1528400000.0,1332900000.0,1409300000.0
Minority Interests,3200000.0,4100000.0,1200000.0,-400000.0
Net Income Including Noncontrolling Interests,1555500000.0,1524300000.0,1331700000.0,1409700000.0
Net Income Continuous Operations,1555500000.0,1524300000.0,1331700000.0,1409700000.0
Tax Provision,118000000.0,222000000.0,204600000.0,322900000.0
Pretax Income,1673500000.0,1746300000.0,1536300000.0,1732600000.0
Other Income Expense,187800000.0,379500000.0,172900000.0,322300000.0
Other Non Operating Income Expenses,4500000.0,84800000.0,102100000.0,101500000.0
Special Income Charges,-30200000.0,70800000.0,-119300000.0,29400000.0
Other Special Charges,-99800000.0,-82900000.0,-59600000.0,-29400000.0
Impairment Of Capital Assets,130000000.0,12100000.0,178900000.0,0.0
Earnings From Equity Interest,205400000.0,212200000.0,176400000.0,204000000.0
Gain On Sale Of Security,8100000.0,11700000.0,13700000.0,-12600000.0
Net Non Operating Interest Income Expense,-889200000.0,-798100000.0,-723500000.0,-513900000.0
Interest Expense Non Operating,895100000.0,815300000.0,727400000.0,515100000.0
Interest Income Non Operating,5900000.0,17200000.0,3900000.0,1200000.0
Operating Income,2374900000.0,2164900000.0,2086900000.0,1924200000.0
Operating Expense,1758600000.0,1621000000.0,1514400000.0,1376300000.0
Other Taxes,280100000.0,266500000.0,250200000.0,253700000.0
Depreciation Amortization Depletion Income Statement,1478500000.0,1354500000.0,1264200000.0,1122600000.0
Depreciation And Amortization In Income Statement,1478500000.0,1354500000.0,1264200000.0,1122600000.0
Gross Profit,4133500000.0,3785900000.0,3601300000.0,3300500000.0
Cost Of Revenue,5666600000.0,4814000000.0,5291700000.0,6296900000.0
Total Revenue,9800100000.0,8599900000.0,8893000000.0,9597400000.0
Operating Revenue,9755600000.0,8467700000.0,8785300000.0,9568100000.0
