period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,2.41848,2.17778,2.544,2.23,12,0.0845
+1q,2.43319,2.09,2.59,2.24,11,0.0862
0y,9.834,8.67,10.32,9.72,13,0.0117
+1y,9.93492,8.03,10.86,9.834,13,0.010299999
