period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,0.68811,0.679,0.72436,0.54,11,0.2743
+1q,0.75227,0.693,0.82,0.6,11,0.2538
0y,3.12619,2.896,3.50447,2.52,13,0.24059999
+1y,3.9193,3.35,4.81,3.12619,14,0.25370002
