period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,771748180,764000000,783099380,13,753000000,0.0249
+1q,804551140,796190000,824000000,13,772600000,0.0414
0y,3212749320,3136394130,3253000000,17,3072700000,0.0456
+1y,3429381600,3343405290,3468000000,16,3212749320,0.0674
