period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,2.61669,2.54,2.7,2.44,8,0.072399996
+1q,3.79147,3.71,3.93,3.55,8,0.068
0y,9.49586,9.4451,9.58,8.55,9,0.1106
+1y,10.34043,10.15,10.57,9.49586,9,0.0889
