period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,24844658630,24331305000,25452000000,22,23621000000,0.051799998
+1q,25447521030,24676000000,26763000000,21,23650000000,0.076
0y,101045294090,96775000000,104223000000,27,94425000000,0.0701
+1y,105369432360,98514000000,109088000000,27,101045294090,0.0428
