period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,1908496840,1895025650,1929000000,8,1659500000,0.15
+1q,1983332640,1967918000,2012000000,8,1724900000,0.1498
0y,7864369900,7778000000,7908000000,13,6840300000,0.1497
+1y,8159325740,8069700000,8258000000,11,7864369900,0.0375
