period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,11515000000,11400000000,11588000000,5,10926000000,0.0539
+1q,13015200000,12898000000,13089000000,5,12394000000,0.050100002
0y,50043271820,49464000000,50297000000,6,47563000000,0.0521
+1y,52443770250,51124000000,53247000000,6,50043271820,0.048
