period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,939730930,917824000,951000000,12,883744000,0.0634
+1q,1033349990,1025780000,1045100000,12,983221000,0.051
0y,4226458960,4189000000,4244000000,13,4026399000,0.0497
+1y,4433486350,4387000000,4473300000,13,4226458960,0.049000002
