,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-3055428.0,-3361070.0,-6219650.0,-1767860.0
Tax Rate For Calcs,0.171,0.17,0.19,0.185
Normalized EBITDA,1260902000.0,1254846000.0,1204993000.0,1248563000.0
Total Unusual Items,-17868000.0,-19771000.0,-32735000.0,-9556000.0
Total Unusual Items Excluding Goodwill,-17868000.0,-19771000.0,-32735000.0,-9556000.0
Net Income From Continuing Operation Net Minority Interest,869193000.0,863140000.0,788778000.0,872502000.0
Reconciled Depreciation,125610000.0,123221000.0,121164000.0,113023000.0
Reconciled Cost Of Revenue,1584612000.0,1496426000.0,1498072000.0,1564883000.0
EBITDA,1243034000.0,1235075000.0,1172258000.0,1239007000.0
EBIT,1117424000.0,1111854000.0,1051094000.0,1125984000.0
Net Interest Income,-68515000.0,-74631000.0,-77366000.0,-55392000.0
Interest Expense,68515000.0,74631000.0,77366000.0,55392000.0
Normalized Income,884005572.0,879549930.0,815293350.0,880290140.0
Net Income From Continuing And Discontinued Operation,869193000.0,863140000.0,788778000.0,872502000.0
Total Expenses,2907909000.0,2745307000.0,2708626000.0,2793489000.0
Diluted Average Shares,20671708.0,21320641.0,21971528.0,22718290.0
Basic Average Shares,20610189.0,21221839.0,21848122.0,22491790.0
Diluted EPS,42.05,40.48,35.9,38.41
Basic EPS,42.17,40.67,36.1,38.79
Diluted NI Availto Com Stockholders,869193000.0,863140000.0,788778000.0,872502000.0
Net Income Common Stockholders,869193000.0,863140000.0,788778000.0,872502000.0
Net Income,869193000.0,863140000.0,788778000.0,872502000.0
Net Income Including Noncontrolling Interests,869193000.0,863140000.0,788778000.0,872502000.0
Net Income Continuous Operations,869193000.0,863140000.0,788778000.0,872502000.0
Tax Provision,179716000.0,174083000.0,184950000.0,198090000.0
Pretax Income,1048909000.0,1037223000.0,973728000.0,1070592000.0
Other Income Expense,-1066000.0,-15200000.0,-28589000.0,-236000.0
Other Non Operating Income Expenses,16802000.0,4571000.0,4146000.0,9320000.0
Special Income Charges,-17868000.0,-19771000.0,-32735000.0,-9556000.0
Restructuring And Mergern Acquisition,17868000.0,19771000.0,32735000.0,9556000.0
Net Non Operating Interest Income Expense,-68515000.0,-74631000.0,-77366000.0,-55392000.0
Interest Expense Non Operating,68515000.0,74631000.0,77366000.0,55392000.0
Operating Income,1118490000.0,1127054000.0,1079683000.0,1126220000.0
Operating Expense,1272156000.0,1198529000.0,1161603000.0,1181822000.0
Depreciation Amortization Depletion Income Statement,74469000.0,72869000.0,72213000.0,66239000.0
Depreciation And Amortization In Income Statement,74469000.0,72869000.0,72213000.0,66239000.0
Amortization,74469000.0,72869000.0,72213000.0,66239000.0
Amortization Of Intangibles Income Statement,74469000.0,72869000.0,72213000.0,66239000.0
Research And Development,199373000.0,189357000.0,185284000.0,177122000.0
Selling General And Administration,998314000.0,936303000.0,904106000.0,938461000.0
Gross Profit,2390646000.0,2325583000.0,2241286000.0,2308042000.0
Cost Of Revenue,1635753000.0,1546778000.0,1547023000.0,1611667000.0
Total Revenue,4026399000.0,3872361000.0,3788309000.0,3919709000.0
Operating Revenue,4026399000.0,3872361000.0,3788309000.0,3919709000.0
