period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,0.50634,0.49,0.59,0.46,39,0.1007
+1q,0.499,0.46,0.57,0.46,38,0.0848
0y,2.16072,2.07,2.56,2.05,44,0.054
+1y,2.63493,2.35,3.51,2.16072,44,0.2195
