,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,3235000000.0,3523000000.0,3602000000.0,3002000000.0
Repurchase Of Capital Stock,-2385000000.0,-2334000000.0,-1547000000.0,-2017000000.0
Repayment Of Debt,-2077000000.0,-2897000000.0,-4368000000.0,-3032000000.0
Issuance Of Debt,4203000000.0,1671000000.0,344000000.0,6404000000.0
Capital Expenditure,-1279000000.0,-1387000000.0,-1112000000.0,-906000000.0
Interest Paid Supplemental Data,570000000.0,554000000.0,568000000.0,551000000.0
Income Tax Paid Supplemental Data,1074000000.0,1474000000.0,1607000000.0,1103000000.0
End Cash Position,2195000000.0,1400000000.0,1884000000.0,1948000000.0
Beginning Cash Position,1400000000.0,1884000000.0,1948000000.0,3553000000.0
Effect Of Exchange Rate Changes,236000000.0,-140000000.0,-32000000.0,-169000000.0
Changes In Cash,559000000.0,-344000000.0,-32000000.0,-1436000000.0
Financing Cash Flow,-2759000000.0,-5780000000.0,-7558000000.0,-456000000.0
Cash Flow From Continuing Financing Activities,-2759000000.0,-5780000000.0,-7558000000.0,-456000000.0
Net Other Financing Charges,-13000000.0,129000000.0,173000000.0,174000000.0
Cash Dividends Paid,-2487000000.0,-2349000000.0,-2160000000.0,-1985000000.0
Common Stock Dividend Paid,-2487000000.0,-2349000000.0,-2160000000.0,-1985000000.0
Net Common Stock Issuance,-2385000000.0,-2334000000.0,-1547000000.0,-2017000000.0
Common Stock Payments,-2385000000.0,-2334000000.0,-1547000000.0,-2017000000.0
Net Issuance Payments Of Debt,2126000000.0,-1226000000.0,-4024000000.0,3372000000.0
Net Short Term Debt Issuance,2609000000.0,-343000000.0,-1869000000.0,1914000000.0
Short Term Debt Payments,0.0,-343000000.0,-1936000000.0,0.0
Short Term Debt Issuance,2609000000.0,0.0,67000000.0,1914000000.0
Net Long Term Debt Issuance,-483000000.0,-883000000.0,-2155000000.0,1458000000.0
Long Term Debt Payments,-2077000000.0,-2554000000.0,-2432000000.0,-3032000000.0
Long Term Debt Issuance,1594000000.0,1671000000.0,277000000.0,4490000000.0
Investing Cash Flow,-1196000000.0,526000000.0,2812000000.0,-4888000000.0
Cash Flow From Continuing Investing Activities,-1196000000.0,526000000.0,2812000000.0,-4888000000.0
Net Investment Purchase And Sale,-38000000.0,-157000000.0,-213000000.0,658000000.0
Sale Of Investment,127000000.0,320000000.0,177000000.0,768000000.0
Purchase Of Investment,-165000000.0,-477000000.0,-390000000.0,-110000000.0
Net Business Purchase And Sale,112000000.0,2054000000.0,4118000000.0,-4685000000.0
Sale Of Business,127000000.0,2294000000.0,4118000000.0,601000000.0
Purchase Of Business,-15000000.0,-240000000.0,-309000000.0,-5286000000.0
Net PPE Purchase And Sale,9000000.0,16000000.0,19000000.0,45000000.0
Sale Of PPE,9000000.0,16000000.0,19000000.0,45000000.0
Capital Expenditure Reported,-1279000000.0,-1387000000.0,-1112000000.0,-906000000.0
Operating Cash Flow,4514000000.0,4910000000.0,4714000000.0,3908000000.0
Cash Flow From Continuing Operating Activities,4514000000.0,4910000000.0,4714000000.0,3908000000.0
Dividend Received Cfo,45000000.0,115000000.0,137000000.0,184000000.0
Change In Working Capital,-974000000.0,-969000000.0,-509000000.0,-513000000.0
Change In Other Working Capital,242000000.0,-151000000.0,-186000000.0,-226000000.0
Change In Other Current Liabilities,-1026000000.0,-932000000.0,354000000.0,638000000.0
Change In Other Current Assets,-225000000.0,-591000000.0,-120000000.0,-286000000.0
Change In Payables And Accrued Expense,-145000000.0,1682000000.0,264000000.0,715000000.0
Change In Payable,-145000000.0,1682000000.0,264000000.0,715000000.0
Change In Account Payable,-145000000.0,1682000000.0,264000000.0,715000000.0
Change In Inventory,-253000000.0,-458000000.0,-193000000.0,-635000000.0
Change In Receivables,433000000.0,-519000000.0,-628000000.0,-719000000.0
Other Non Cash Items,103000000.0,-363000000.0,163000000.0,118000000.0
Stock Based Compensation,114000000.0,147000000.0,146000000.0,120000000.0
Asset Impairment Charge,85000000.0,267000000.0,128000000.0,233000000.0
Deferred Tax,16000000.0,257000000.0,-37000000.0,-42000000.0
Deferred Income Tax,16000000.0,257000000.0,-37000000.0,-42000000.0
Depreciation Amortization Depletion,1358000000.0,1302000000.0,1215000000.0,1107000000.0
Depreciation And Amortization,1358000000.0,1302000000.0,1215000000.0,1107000000.0
Operating Gains Losses,1301000000.0,-469000000.0,-1497000000.0,-25000000.0
Earnings Losses From Equity Investments,-65000000.0,162000000.0,-625000000.0,-363000000.0
Gain Loss On Investment Securities,1379000000.0,-627000000.0,-764000000.0,338000000.0
Gain Loss On Sale Of Business,-13000000.0,-4000000.0,-108000000.0,0.0
Net Income From Continuing Operations,2466000000.0,4623000000.0,4968000000.0,2726000000.0
