period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,3615973490,3411000000,4245500000,20,3382117000,0.0691
+1q,7641056360,7252100000,7968432960,20,7006641000,0.090500005
0y,27472988200,26984000000,28404000000,24,25201406000,0.090100005
+1y,30010556300,29158800000,31450868350,24,27472988200,0.0924
