period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.86147,1.84,1.91,1.81,23,0.028399998
+1q,2.04448,1.96,2.12,2.07,23,-0.0123000005
0y,8.39699,8.349,8.48,8.2,27,0.024
+1y,8.98836,8.52,9.75,8.39699,25,0.0704
