period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,0.96251,0.927,1.03,0.9,10,0.0695
+1q,1.20302,1.15,1.258,1.0,10,0.203
0y,3.97492,3.74,4.09,3.56,13,0.1166
+1y,4.40176,4.11,4.70308,3.97492,13,0.1074
