period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,1072583980,1064154900,1081116350,20,1015139000,0.056599997
+1q,1102847200,1086000000,1115700000,20,1043494000,0.056900002
0y,4473294110,4413000000,4551951590,24,4208175000,0.063
+1y,4784154810,4566792000,5039967280,22,4473294110,0.0695
