period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,0.98108,0.66,1.26,1.1,16,-0.108100004
+1q,1.33117,0.87,1.49244,1.27,15,0.0482
0y,4.63432,4.32,4.857,4.78,17,-0.0305
+1y,5.15855,4.66,5.8,4.63432,17,0.11310001
