period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,0.15248,0.15248,0.15248,0.1725,1,-0.1161
+1q,0.15923,0.15923,0.15923,0.1585,1,0.0046
0y,0.66406,0.64811,0.68,0.62316,2,0.0656
+1y,0.71606,0.62,0.76819,0.66406,3,0.0783
