period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,4666059450,4628000000,4684000000,10,5272000000,-0.1149
+1q,4911644630,4890000000,4942800000,10,5509000000,-0.1084
0y,19160047310,19096000000,19229000000,10,21840000000,-0.122700006
+1y,19716025640,19525000000,20218000000,11,19160047310,0.029000001
