,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-3108000.0,-6033333.333333,-17751000.0,-13680000.0,-828000.0,
Tax Rate For Calcs,0.028,0.033333,0.183,0.152,0.009,
Normalized EBITDA,1271000000.0,1475000000.0,1570000000.0,1212000000.0,1160000000.0,
Total Unusual Items,-111000000.0,-181000000.0,-97000000.0,-90000000.0,-92000000.0,
Total Unusual Items Excluding Goodwill,-111000000.0,-181000000.0,-97000000.0,-90000000.0,-92000000.0,
Net Income From Continuing Operation Net Minority Interest,382000000.0,493000000.0,574000000.0,308000000.0,303000000.0,
Reconciled Depreciation,614000000.0,629000000.0,618000000.0,608000000.0,607000000.0,
Reconciled Cost Of Revenue,2841000000.0,3092000000.0,2875000000.0,3015000000.0,2933000000.0,
EBITDA,1160000000.0,1294000000.0,1473000000.0,1122000000.0,1068000000.0,
EBIT,546000000.0,665000000.0,855000000.0,514000000.0,461000000.0,
Net Interest Income,-149000000.0,-150000000.0,-147000000.0,-146000000.0,-132000000.0,
Interest Expense,153000000.0,155000000.0,152000000.0,151000000.0,155000000.0,
Interest Income,4000000.0,5000000.0,5000000.0,5000000.0,23000000.0,
Normalized Income,489892000.0,667966666.666667,653249000.0,384320000.0,394172000.0,
Net Income From Continuing And Discontinued Operation,382000000.0,493000000.0,574000000.0,308000000.0,303000000.0,
Total Expenses,4590000000.0,5065000000.0,4530000000.0,4635000000.0,4622000000.0,
Total Operating Income As Reported,552000000.0,697000000.0,882000000.0,546000000.0,453000000.0,
Diluted Average Shares,285845000.0,,287223000.0,287737000.0,290389000.0,290602000.0
Basic Average Shares,285582000.0,,287170000.0,287293000.0,289505000.0,289607000.0
Diluted EPS,1.34,,2.0,1.07,1.04,1.45
Basic EPS,1.34,,2.0,1.07,1.05,1.45
Diluted NI Availto Com Stockholders,382000000.0,493000000.0,574000000.0,308000000.0,303000000.0,
Net Income Common Stockholders,382000000.0,493000000.0,574000000.0,308000000.0,303000000.0,
Net Income,382000000.0,493000000.0,574000000.0,308000000.0,303000000.0,
Net Income Including Noncontrolling Interests,382000000.0,493000000.0,574000000.0,308000000.0,303000000.0,
Net Income Continuous Operations,382000000.0,493000000.0,574000000.0,308000000.0,303000000.0,
Tax Provision,11000000.0,17000000.0,129000000.0,55000000.0,3000000.0,
Pretax Income,393000000.0,510000000.0,703000000.0,363000000.0,306000000.0,
Other Income Expense,-121000000.0,-166000000.0,-130000000.0,-128000000.0,-108000000.0,
Other Non Operating Income Expenses,-10000000.0,15000000.0,-33000000.0,-38000000.0,-16000000.0,
Special Income Charges,-111000000.0,-129000000.0,-97000000.0,-90000000.0,-92000000.0,
Restructuring And Mergern Acquisition,,129000000.0,97000000.0,90000000.0,,
Net Non Operating Interest Income Expense,-149000000.0,-150000000.0,-147000000.0,-146000000.0,-132000000.0,
Interest Expense Non Operating,153000000.0,155000000.0,152000000.0,151000000.0,155000000.0,
Interest Income Non Operating,4000000.0,5000000.0,5000000.0,5000000.0,23000000.0,
Operating Income,662000000.0,826000000.0,979000000.0,637000000.0,546000000.0,
Operating Expense,1749000000.0,1973000000.0,1655000000.0,1620000000.0,1689000000.0,
Other Operating Expenses,50000000.0,285000000.0,38000000.0,45000000.0,28000000.0,
Research And Development,306000000.0,322000000.0,297000000.0,302000000.0,343000000.0,
Selling General And Administration,1393000000.0,1366000000.0,1320000000.0,1273000000.0,1318000000.0,
Gross Profit,2411000000.0,2799000000.0,2634000000.0,2257000000.0,2235000000.0,
Cost Of Revenue,2841000000.0,3092000000.0,2875000000.0,3015000000.0,2933000000.0,
Total Revenue,5252000000.0,5891000000.0,5509000000.0,5272000000.0,5168000000.0,
Operating Revenue,5252000000.0,5891000000.0,5509000000.0,5272000000.0,5168000000.0,
