,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,28927852.831273,-37130360.789653,-54480000.0,1694297.082228
Tax Rate For Calcs,0.361598,0.242682,0.24,0.242042
Normalized EBITDA,3986000000.0,3687000000.0,3610000000.0,3597000000.0
Total Unusual Items,80000000.0,-153000000.0,-227000000.0,7000000.0
Total Unusual Items Excluding Goodwill,80000000.0,-153000000.0,-227000000.0,7000000.0
Net Income From Continuing Operation Net Minority Interest,2230000000.0,2240000000.0,2126000000.0,2290000000.0
Reconciled Depreciation,550000000.0,542000000.0,555000000.0,569000000.0
Reconciled Cost Of Revenue,13991000000.0,12945000000.0,12628000000.0,12448000000.0
EBITDA,4066000000.0,3534000000.0,3383000000.0,3604000000.0
EBIT,3516000000.0,2992000000.0,2828000000.0,3035000000.0
Net Interest Income,68000000.0,65000000.0,85000000.0,40000000.0
Interest Expense,37000000.0,54000000.0,41000000.0,19000000.0
Interest Income,105000000.0,119000000.0,126000000.0,59000000.0
Normalized Income,2178927852.831273,2355869639.210347,2298520000.0,2284694297.082228
Net Income From Continuing And Discontinued Operation,2230000000.0,2240000000.0,2126000000.0,2290000000.0
Total Expenses,17781000000.0,16710000000.0,16435000000.0,16460000000.0
Total Operating Income As Reported,3389000000.0,2892000000.0,2689000000.0,2968000000.0
Diluted Average Shares,489000000.0,497000000.0,505000000.0,519000000.0
Basic Average Shares,488000000.0,496000000.0,505000000.0,518000000.0
Diluted EPS,4.56,4.51,4.21,4.41
Basic EPS,4.57,4.52,4.21,4.42
Diluted NI Availto Com Stockholders,2230000000.0,2240000000.0,2126000000.0,2290000000.0
Net Income Common Stockholders,2230000000.0,2240000000.0,2126000000.0,2290000000.0
Net Income,2230000000.0,2240000000.0,2126000000.0,2290000000.0
Net Income Including Noncontrolling Interests,2230000000.0,2240000000.0,2126000000.0,2290000000.0
Net Income Continuous Operations,2230000000.0,2240000000.0,2126000000.0,2290000000.0
Earnings From Equity Interest Net Of Tax,9000000.0,15000000.0,7000000.0,4000000.0
Tax Provision,1258000000.0,713000000.0,668000000.0,730000000.0
Pretax Income,3479000000.0,2938000000.0,2787000000.0,3016000000.0
Other Income Expense,84000000.0,-153000000.0,-216000000.0,8000000.0
Other Non Operating Income Expenses,4000000.0,,11000000.0,1000000.0
Special Income Charges,62000000.0,-134000000.0,-229000000.0,0.0
Gain On Sale Of Ppe,62000000.0,0.0,0.0,
Other Special Charges,,23000000.0,71000000.0,
Impairment Of Capital Assets,,,1000000.0,
Restructuring And Mergern Acquisition,0.0,134000000.0,229000000.0,0.0
Gain On Sale Of Security,18000000.0,-19000000.0,2000000.0,7000000.0
Net Non Operating Interest Income Expense,68000000.0,65000000.0,85000000.0,40000000.0
Interest Expense Non Operating,37000000.0,54000000.0,41000000.0,19000000.0
Interest Income Non Operating,105000000.0,119000000.0,126000000.0,59000000.0
Operating Income,3327000000.0,3026000000.0,2918000000.0,2968000000.0
Operating Expense,3790000000.0,3752000000.0,3771000000.0,4012000000.0
Depreciation Amortization Depletion Income Statement,550000000.0,529000000.0,519000000.0,569000000.0
Depreciation And Amortization In Income Statement,550000000.0,529000000.0,519000000.0,569000000.0
Selling General And Administration,3240000000.0,3223000000.0,3252000000.0,3443000000.0
Gross Profit,7117000000.0,6778000000.0,6689000000.0,6980000000.0
Cost Of Revenue,13991000000.0,12958000000.0,12664000000.0,12448000000.0
Total Revenue,21108000000.0,19736000000.0,19353000000.0,19428000000.0
Operating Revenue,21108000000.0,19736000000.0,19353000000.0,19428000000.0
