period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.2728,1.21,1.37,0.96,37,0.32580003
+1q,1.41055,1.24,1.57,0.48,36,1.9386001
0y,6.65475,5.6,7.56,4.17,44,0.5959
+1y,10.77447,7.4,14.26,6.65475,42,0.6191
