,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-14440000.0,-17850000.0,-19530000.0,26400000.0
Tax Rate For Calcs,0.38,0.21,0.21,0.2
Normalized EBITDA,2064000000.0,1686000000.0,1606000000.0,1176000000.0
Total Unusual Items,-38000000.0,-85000000.0,-93000000.0,132000000.0
Total Unusual Items Excluding Goodwill,-38000000.0,-85000000.0,-93000000.0,132000000.0
Net Income From Continuing Operation Net Minority Interest,643000000.0,607000000.0,1334000000.0,836000000.0
Reconciled Depreciation,419000000.0,485000000.0,329000000.0,140000000.0
Reconciled Cost Of Revenue,531000000.0,479000000.0,432000000.0,353000000.0
EBITDA,2026000000.0,1601000000.0,1513000000.0,1308000000.0
EBIT,1607000000.0,1116000000.0,1184000000.0,1168000000.0
Net Interest Income,-550000000.0,-644000000.0,-386000000.0,-126000000.0
Interest Expense,578000000.0,669000000.0,401000000.0,126000000.0
Interest Income,28000000.0,25000000.0,15000000.0,0.0
Normalized Income,666560000.0,674150000.0,1407470000.0,730400000.0
Net Income From Continuing And Discontinued Operation,643000000.0,607000000.0,1334000000.0,836000000.0
Total Expenses,2315000000.0,2633000000.0,2042000000.0,1760000000.0
Total Operating Income As Reported,1610000000.0,1110000000.0,1206000000.0,1005000000.0
Diluted Average Shares,624000000.0,642000000.0,624000000.0,591000000.0
Basic Average Shares,617000000.0,637000000.0,614000000.0,581000000.0
Diluted EPS,1.03,0.96,2.16,1.41
Basic EPS,1.04,0.97,2.2,1.44
Diluted NI Availto Com Stockholders,643000000.0,607000000.0,1334000000.0,836000000.0
Net Income Common Stockholders,643000000.0,607000000.0,1334000000.0,836000000.0
Net Income,643000000.0,607000000.0,1334000000.0,836000000.0
Net Income Including Noncontrolling Interests,643000000.0,607000000.0,1334000000.0,836000000.0
Net Income Discontinuous Operations,,,0.0,0.0
Net Income Continuous Operations,643000000.0,607000000.0,1334000000.0,836000000.0
Tax Provision,386000000.0,-160000000.0,-551000000.0,206000000.0
Pretax Income,1029000000.0,447000000.0,783000000.0,1042000000.0
Other Income Expense,-41000000.0,-76000000.0,-106000000.0,132000000.0
Other Non Operating Income Expenses,-3000000.0,9000000.0,-13000000.0,-7000000.0
Special Income Charges,-10000000.0,-48000000.0,-78000000.0,141000000.0
Gain On Sale Of Ppe,0.0,9000000.0,0.0,175000000.0
Gain On Sale Of Business,,,,0.0
Other Special Charges,,,9000000.0,3000000.0
Impairment Of Capital Assets,3000000.0,0.0,0.0,
Restructuring And Mergern Acquisition,7000000.0,57000000.0,69000000.0,31000000.0
Earnings From Equity Interest,,,,0.0
Gain On Sale Of Security,-28000000.0,-37000000.0,-15000000.0,-9000000.0
Net Non Operating Interest Income Expense,-550000000.0,-644000000.0,-386000000.0,-126000000.0
Interest Expense Non Operating,578000000.0,669000000.0,401000000.0,126000000.0
Interest Income Non Operating,28000000.0,25000000.0,15000000.0,0.0
Operating Income,1620000000.0,1167000000.0,1275000000.0,1036000000.0
Operating Expense,1539000000.0,1902000000.0,1453000000.0,1352000000.0
Depreciation Amortization Depletion Income Statement,174000000.0,233000000.0,172000000.0,85000000.0
Depreciation And Amortization In Income Statement,174000000.0,233000000.0,172000000.0,85000000.0
Amortization,174000000.0,233000000.0,172000000.0,85000000.0
Amortization Of Intangibles Income Statement,174000000.0,233000000.0,172000000.0,85000000.0
Research And Development,329000000.0,332000000.0,313000000.0,253000000.0
Selling General And Administration,1036000000.0,1337000000.0,968000000.0,1014000000.0
Selling And Marketing Expense,745000000.0,733000000.0,682000000.0,622000000.0
General And Administrative Expense,291000000.0,604000000.0,286000000.0,392000000.0
Other Gand A,291000000.0,604000000.0,286000000.0,392000000.0
Gross Profit,3159000000.0,3069000000.0,2728000000.0,2388000000.0
Cost Of Revenue,776000000.0,731000000.0,589000000.0,408000000.0
Total Revenue,3935000000.0,3800000000.0,3317000000.0,2796000000.0
Operating Revenue,3935000000.0,3800000000.0,3317000000.0,2796000000.0
