,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Ordinary Shares Number,617000000.0,623000000.0,640000000.0,582000000.0
Share Issued,617000000.0,623000000.0,640000000.0,582000000.0
Net Debt,7253000000.0,7758000000.0,9012000000.0,1849000000.0
Total Debt,8315000000.0,8655000000.0,9819000000.0,3829000000.0
Tangible Book Value,-10235000000.0,-10708000000.0,-11114000000.0,-3989000000.0
Invested Capital,10528000000.0,10744000000.0,11962000000.0,3643000000.0
Working Capital,-1407000000.0,-1368000000.0,-1616000000.0,-805000000.0
Net Tangible Assets,-10235000000.0,-10708000000.0,-11114000000.0,-3989000000.0
Capital Lease Obligations,56000000.0,51000000.0,57000000.0,93000000.0
Common Stock Equity,2269000000.0,2140000000.0,2200000000.0,-93000000.0
Total Capitalization,10237000000.0,10569000000.0,11729000000.0,2643000000.0
Total Equity Gross Minority Interest,2269000000.0,2140000000.0,2200000000.0,-93000000.0
Stockholders Equity,2269000000.0,2140000000.0,2200000000.0,-93000000.0
Gains Losses Not Affecting Retained Earnings,-33000000.0,11000000.0,-15000000.0,-4000000.0
Other Equity Adjustments,-33000000.0,11000000.0,-15000000.0,-4000000.0
Retained Earnings,236000000.0,-98000000.0,-585000000.0,-1940000000.0
Capital Stock,2066000000.0,2227000000.0,2800000000.0,1851000000.0
Common Stock,2066000000.0,2227000000.0,2800000000.0,1851000000.0
Total Liabilities Net Minority Interest,13226000000.0,13653000000.0,13747000000.0,7036000000.0
Total Non Current Liabilities Net Minority Interest,10375000000.0,10927000000.0,10898000000.0,3971000000.0
Other Non Current Liabilities,45000000.0,47000000.0,43000000.0,47000000.0
Non Current Accrued Expenses,601000000.0,586000000.0,0.0,
Tradeand Other Payables Non Current,1420000000.0,1490000000.0,820000000.0,996000000.0
Non Current Deferred Liabilities,299000000.0,337000000.0,475000000.0,117000000.0
Non Current Deferred Revenue,77000000.0,76000000.0,80000000.0,42000000.0
Non Current Deferred Taxes Liabilities,222000000.0,261000000.0,395000000.0,75000000.0
Long Term Debt And Capital Lease Obligation,8010000000.0,8467000000.0,9560000000.0,2811000000.0
Long Term Capital Lease Obligation,42000000.0,38000000.0,31000000.0,75000000.0
Long Term Debt,7968000000.0,8429000000.0,9529000000.0,2736000000.0
Current Liabilities,2851000000.0,2726000000.0,2849000000.0,3065000000.0
Current Deferred Liabilities,1846000000.0,1808000000.0,1708000000.0,1264000000.0
Current Deferred Revenue,1846000000.0,1808000000.0,1708000000.0,1264000000.0
Current Debt And Capital Lease Obligation,305000000.0,188000000.0,259000000.0,1018000000.0
Current Capital Lease Obligation,14000000.0,13000000.0,26000000.0,18000000.0
Current Debt,291000000.0,175000000.0,233000000.0,1000000000.0
Other Current Borrowings,291000000.0,175000000.0,233000000.0,1000000000.0
Pensionand Other Post Retirement Benefit Plans Current,105000000.0,78000000.0,102000000.0,81000000.0
Payables And Accrued Expenses,595000000.0,652000000.0,780000000.0,702000000.0
Current Accrued Expenses,181000000.0,316000000.0,455000000.0,443000000.0
Interest Payable,86000000.0,78000000.0,27000000.0,
Payables,414000000.0,336000000.0,325000000.0,259000000.0
Total Tax Payable,320000000.0,270000000.0,248000000.0,196000000.0
Income Tax Payable,215000000.0,198000000.0,172000000.0,109000000.0
Accounts Payable,94000000.0,66000000.0,77000000.0,63000000.0
Total Assets,15495000000.0,15793000000.0,15947000000.0,6943000000.0
Total Non Current Assets,14051000000.0,14435000000.0,14714000000.0,4683000000.0
Other Non Current Assets,40000000.0,66000000.0,47000000.0,46000000.0
Non Current Prepaid Assets,5000000.0,21000000.0,36000000.0,53000000.0
Non Current Deferred Assets,1218000000.0,1236000000.0,353000000.0,351000000.0
Non Current Deferred Taxes Assets,1218000000.0,1236000000.0,353000000.0,351000000.0
Non Current Accounts Receivable,66000000.0,11000000.0,669000000.0,25000000.0
Investments And Advances,109000000.0,136000000.0,176000000.0,178000000.0
Investmentin Financial Assets,109000000.0,136000000.0,176000000.0,178000000.0
Available For Sale Securities,109000000.0,136000000.0,176000000.0,178000000.0
Goodwill And Other Intangible Assets,12504000000.0,12848000000.0,13314000000.0,3896000000.0
Other Intangible Assets,2267000000.0,2638000000.0,3097000000.0,1023000000.0
Goodwill,10237000000.0,10210000000.0,10217000000.0,2873000000.0
Net PPE,109000000.0,117000000.0,119000000.0,134000000.0
Accumulated Depreciation,-382000000.0,-512000000.0,-509000000.0,-515000000.0
Gross PPE,491000000.0,629000000.0,628000000.0,649000000.0
Leases,37000000.0,35000000.0,28000000.0,56000000.0
Construction In Progress,2000000.0,1000000.0,1000000.0,1000000.0
Other Properties,49000000.0,45000000.0,43000000.0,74000000.0
Machinery Furniture Equipment,376000000.0,507000000.0,515000000.0,489000000.0
Buildings And Improvements,15000000.0,28000000.0,28000000.0,27000000.0
Land And Improvements,12000000.0,13000000.0,13000000.0,2000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,1444000000.0,1358000000.0,1233000000.0,2260000000.0
Other Current Assets,18000000.0,17000000.0,23000000.0,24000000.0
Assets Held For Sale Current,22000000.0,15000000.0,31000000.0,56000000.0
Prepaid Assets,136000000.0,142000000.0,122000000.0,107000000.0
Receivables,262000000.0,338000000.0,307000000.0,182000000.0
Taxes Receivable,91000000.0,175000000.0,139000000.0,62000000.0
Accounts Receivable,171000000.0,163000000.0,168000000.0,120000000.0
Allowance For Doubtful Accounts Receivable,-2000000.0,-2000000.0,-1000000.0,-1000000.0
Gross Accounts Receivable,173000000.0,165000000.0,169000000.0,121000000.0
Cash Cash Equivalents And Short Term Investments,1006000000.0,846000000.0,750000000.0,1891000000.0
Other Short Term Investments,,,0.0,4000000.0
Cash And Cash Equivalents,1006000000.0,846000000.0,750000000.0,1887000000.0
Cash Equivalents,544000000.0,438000000.0,174000000.0,1278000000.0
Cash Financial,462000000.0,408000000.0,576000000.0,609000000.0
