period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.04319,1.03,1.08195,1.24,20,-0.1587
+1q,0.92485,0.79,1.0,1.33,20,-0.3046
0y,4.68165,4.03,4.92423,5.93,23,-0.21049999
+1y,5.00035,4.23,5.61,4.68165,22,0.0681
