period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,2.84341,2.65,3.025,2.42,11,0.175
+1q,2.97813,2.85,3.11,2.18,11,0.3661
0y,11.96758,11.44,12.45,10.66,13,0.122700006
+1y,13.65264,12.77,15.077,11.96758,13,0.1408
