period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,3814001250,3756000000,3884108770,7,3403000000,0.120799996
+1q,3900149030,3740000000,4034143230,7,3398000000,0.1478
0y,15535582910,15139000000,15885114450,10,14065000000,0.1046
+1y,16745665540,15862000000,17215800000,9,15535582910,0.0779
