period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,1262539340,1041000000,1504652960,11,1076881000,0.1724
+1q,1380839230,1283800000,1556889150,10,1329992000,0.0382
0y,5458178190,4695000000,6248486390,16,5142733000,0.061300002
+1y,5784875130,5086629620,6797996190,15,5458178190,0.059899997
