period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.14097,-0.1,1.83,-0.18,11,7.3387
+1q,1.93018,0.05,3.08,0.11,10,16.5471
0y,7.90423,0.85,12.68,-0.79,16,11.005401
+1y,8.75242,2.5,15.59,7.90423,16,0.1073
