,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,4861710.0,5277510.0,1349250.0,21437640.0
Tax Rate For Calcs,0.21,0.21,0.21,0.21
Normalized EBITDA,1129300000.0,968446000.0,870973000.0,851834000.0
Total Unusual Items,23151000.0,25131000.0,6425000.0,102084000.0
Total Unusual Items Excluding Goodwill,23151000.0,25131000.0,6425000.0,102084000.0
Net Income From Continuing Operation Net Minority Interest,527460000.0,400388000.0,364557000.0,482865000.0
Reconciled Depreciation,382754000.0,372013000.0,323152000.0,298702000.0
Reconciled Cost Of Revenue,479449000.0,455753000.0,423899000.0,366938000.0
EBITDA,1152451000.0,993577000.0,877398000.0,953918000.0
EBIT,747407000.0,598863000.0,525116000.0,634221000.0
Net Interest Income,-198764000.0,-179391000.0,-154249000.0,-146186000.0
Interest Expense,206456000.0,189023000.0,154249000.0,146186000.0
Interest Income,7692000.0,9632000.0,1965000.0,947000.0
Normalized Income,509170710.0,380534510.0,359481250.0,402218640.0
Net Income From Continuing And Discontinued Operation,527460000.0,400388000.0,364557000.0,482865000.0
Total Expenses,970459000.0,940098000.0,854316000.0,751709000.0
Diluted Average Shares,182234000.0,183040000.0,176371000.0,171791000.0
Basic Average Shares,181902000.0,180882203.0,176085000.0,170659178.0
Diluted EPS,2.82,2.11,2.04,2.81
Basic EPS,2.82,2.138066,2.04,2.829411
Diluted NI Availto Com Stockholders,513810000.0,386738000.0,359500000.0,482865000.0
Net Income Common Stockholders,513810000.0,386738000.0,359500000.0,482865000.0
Preferred Stock Dividends,13650000.0,13650000.0,5057000.0,
Net Income,527460000.0,400388000.0,364557000.0,482865000.0
Minority Interests,-13491000.0,-9452000.0,-6310000.0,-5170000.0
Net Income Including Noncontrolling Interests,540951000.0,409840000.0,370867000.0,488035000.0
Net Income Continuous Operations,540951000.0,409840000.0,370867000.0,488035000.0
Pretax Income,540951000.0,409840000.0,370867000.0,488035000.0
Other Income Expense,156650000.0,75425000.0,56966000.0,161908000.0
Special Income Charges,-4606000.0,-14484000.0,99000.0,0.0
Other Special Charges,,180000.0,-99000.0,
Impairment Of Capital Assets,4606000.0,14304000.0,0.0,0.0
Earnings From Equity Interest,133499000.0,50294000.0,50541000.0,59824000.0
Gain On Sale Of Security,27757000.0,39615000.0,6326000.0,102084000.0
Net Non Operating Interest Income Expense,-198764000.0,-179391000.0,-154249000.0,-146186000.0
Interest Expense Non Operating,206456000.0,189023000.0,154249000.0,146186000.0
Interest Income Non Operating,7692000.0,9632000.0,1965000.0,947000.0
Operating Income,583065000.0,513806000.0,468150000.0,472313000.0
Operating Expense,513300000.0,507046000.0,459547000.0,405766000.0
Other Operating Expenses,8849000.0,10867000.0,9459000.0,6166000.0
Depreciation Amortization Depletion Income Statement,405044000.0,394714000.0,352282000.0,319697000.0
Depreciation And Amortization In Income Statement,405044000.0,394714000.0,352282000.0,319697000.0
Selling General And Administration,99407000.0,101465000.0,97806000.0,79903000.0
General And Administrative Expense,99407000.0,101465000.0,97806000.0,79903000.0
Other Gand A,99407000.0,101465000.0,97806000.0,79903000.0
Gross Profit,1096365000.0,1020852000.0,927697000.0,878079000.0
Cost Of Revenue,457159000.0,433052000.0,394769000.0,345943000.0
Total Revenue,1553524000.0,1453904000.0,1322466000.0,1224022000.0
Operating Revenue,1553524000.0,1453904000.0,1322466000.0,1224022000.0
