,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-1990000.0,-2330000.0,-3510000.0,0.0
Tax Rate For Calcs,0.199,0.233,0.234,0.241
Normalized EBITDA,1357000000.0,1287000000.0,1228000000.0,1203000000.0
Total Unusual Items,-10000000.0,-10000000.0,-15000000.0,
Total Unusual Items Excluding Goodwill,-10000000.0,-10000000.0,-15000000.0,
Net Income From Continuing Operation Net Minority Interest,940000000.0,833000000.0,839000000.0,845000000.0
Reconciled Depreciation,78000000.0,78000000.0,87000000.0,90000000.0
Reconciled Cost Of Revenue,2204000000.0,2088000000.0,2120000000.0,2110000000.0
EBITDA,1347000000.0,1277000000.0,1213000000.0,1203000000.0
EBIT,1269000000.0,1199000000.0,1126000000.0,1113000000.0
Net Interest Income,-96000000.0,-113000000.0,-30000000.0,0.0
Interest Expense,96000000.0,113000000.0,30000000.0,0.0
Normalized Income,948010000.0,840670000.0,850490000.0,845000000.0
Net Income From Continuing And Discontinued Operation,940000000.0,833000000.0,839000000.0,845000000.0
Total Expenses,4226000000.0,3985000000.0,3881000000.0,3758000000.0
Total Operating Income As Reported,1277000000.0,1208000000.0,1140000000.0,1112000000.0
Diluted Average Shares,250300000.0,249600000.0,246800000.0,246700000.0
Basic Average Shares,248300000.0,247300000.0,246400000.0,244500000.0
Diluted EPS,3.76,3.34,3.4,3.425213
Basic EPS,3.79,3.37,3.41,3.456033
Diluted NI Availto Com Stockholders,940000000.0,833000000.0,839000000.0,845000000.0
Net Income Common Stockholders,940000000.0,833000000.0,839000000.0,845000000.0
Net Income,940000000.0,833000000.0,839000000.0,845000000.0
Net Income Including Noncontrolling Interests,940000000.0,833000000.0,839000000.0,845000000.0
Net Income Continuous Operations,940000000.0,833000000.0,839000000.0,845000000.0
Tax Provision,233000000.0,253000000.0,257000000.0,268000000.0
Pretax Income,1173000000.0,1086000000.0,1096000000.0,1113000000.0
Other Income Expense,-8000000.0,-9000000.0,-14000000.0,1000000.0
Other Non Operating Income Expenses,2000000.0,1000000.0,1000000.0,1000000.0
Special Income Charges,-9000000.0,-10000000.0,-15000000.0,
Gain On Sale Of Business,-6000000.0,-10000000.0,0.0,
Write Off,3000000.0,0.0,15000000.0,
Gain On Sale Of Security,-1000000.0,,,
Net Non Operating Interest Income Expense,-96000000.0,-113000000.0,-30000000.0,0.0
Interest Expense Non Operating,96000000.0,113000000.0,30000000.0,0.0
Operating Income,1277000000.0,1208000000.0,1140000000.0,1112000000.0
Operating Expense,2022000000.0,1897000000.0,1761000000.0,1648000000.0
Research And Development,266000000.0,253000000.0,225000000.0,217000000.0
Selling General And Administration,1756000000.0,1644000000.0,1536000000.0,1431000000.0
Gross Profit,3299000000.0,3105000000.0,2901000000.0,2760000000.0
Cost Of Revenue,2204000000.0,2088000000.0,2120000000.0,2110000000.0
Total Revenue,5503000000.0,5193000000.0,5021000000.0,4870000000.0
Operating Revenue,5503000000.0,5193000000.0,5021000000.0,4870000000.0
