period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,1210888980,1201000000,1233100000,11,1005667000,0.2041
+1q,1295193740,1269800000,1314500000,12,1102030000,0.1753
0y,5276239130,5224100000,5334100000,14,4528403000,0.16510001
+1y,5818600560,5668000000,6086000000,14,5276239130,0.1028
