period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,3.15016,3.13,3.29795,3.67,18,-0.1416
+1q,3.62898,3.4,3.84,3.39,17,0.0705
0y,14.45791,14.32,14.84904,12.91,24,0.119899996
+1y,17.0551,16.01,18.6,14.45791,23,0.17959999
